system,dataset,repeat,module,events,median_ms,iqr_ms,p95_ms,max_ms
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,feature_tracking_ms,1505,58.87,21.688000000000002,92.1572,212.418
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,backend_total_ms,1505,74.653,19.828000000000003,96.1842,156.567
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,solver_ms,1505,65.635,20.938000000000002,84.6272,96.544
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,visual_update_ms,1505,0.597,0.35000000000000003,1.1799999999999997,2.231
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,feature_tracking_ms,1389,63.454,21.307000000000002,98.82839999999996,214.029
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,backend_total_ms,1389,77.925,24.936999999999998,98.8778,170.119
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,solver_ms,1389,66.087,25.302000000000007,85.025,102.027
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,visual_update_ms,1389,0.679,0.385,1.2903999999999998,6.189
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,feature_tracking_ms,1195,72.727,27.8495,128.62089999999998,241.605
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,backend_total_ms,1195,81.58,21.92349999999999,106.71449999999999,200.02
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,solver_ms,1195,66.633,21.812499999999993,87.2007,106.705
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,visual_update_ms,1195,0.817,0.5514999999999999,1.9111999999999993,5.687
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,feature_tracking_ms,2235,47.215,12.787499999999994,68.86439999999999,182.154
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,backend_total_ms,2235,72.56,26.9525,89.6441,113.506
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,solver_ms,2235,65.582,28.349499999999992,83.2381,93.753
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,visual_update_ms,2235,0.459,0.236,0.87,3.009
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,feature_tracking_ms,2235,40.571,8.561,50.981899999999996,101.919
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,backend_total_ms,2235,69.678,38.13000000000001,86.61989999999999,120.523
