estimator,dataset,repeat,status,input_difference_pct,duration_difference_pct
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,descriptive_only,9.950248756218905,0.12798634812287174
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,descriptive_only,27.025557368134855,0.08532423208191449
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,descriptive_only,20.896328293736502,0.12793176972281933
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,comparable,1.3842482100238664,0.04478280340347548
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,descriptive_only,20.714985308521058,0.0
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,descriptive_only,23.540856031128406,0.0
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,descriptive_only,13.11111111111111,0.07809449433815212
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,descriptive_only,21.32320071524363,0.0
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,descriptive_only,28.507992895204264,0.11714174150722817
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,descriptive_only,30.060851926977687,0.07380073800738286
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,descriptive_only,26.157697121401753,0.1107011070110743
ORB-SLAM3,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,descriptive_only,18.331922099915325,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,filter_inactive,31.152790484903935,0.042625745950555745
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,filter_inactive,38.101604278074866,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,filter_inactive,42.214700193423596,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,filter_inactive,0.0,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,filter_inactive,0.0,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,filter_inactive,0.0,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,filter_inactive,0.0,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,filter_inactive,0.0,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,filter_inactive,0.0,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,filter_inactive,0.8112094395280236,0.8115086683880477
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,filter_inactive,0.0,0.0
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,filter_inactive,35.66949465142014,0.0
