dataset,repeat,system,delta_s,pairs,trans_rmse,trans_median,rot_rmse,rot_median,pairs_clean,trans_rmse_clean,trans_median_clean,rot_rmse_clean,rot_median_clean
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion,0.5,1468,21.53833170498474,10.30885293753315,2.2000637158001863,0.634852425299135,523,1.5894428575248714,1.3588759555319097,1.0615825762685587,0.26564204809043573
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion,1.0,1463,39.4206090184632,19.97074140595729,2.6419153432709734,1.0053452150959912,468,2.9704192660604036,2.6127588623995184,1.6901044576877116,0.36449661688180657
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion,2.0,1433,74.70679087228942,40.039509821128654,3.4998394366613126,1.415931704101808,370,5.549717667411768,5.129980873286549,2.6659462857798157,0.5234279147860972
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion,5.0,1359,176.8827779391888,105.35163713707949,4.709741815046178,2.8731165870995072,194,13.066067635987602,12.667639619943422,1.146508150101151,0.9523458989595692
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3,0.5,1051,2.79188110335105,1.910184623417588,11.987049027999298,0.6056809488582565,661,1.9476510099945956,1.4672575312100675,11.740923410884882,0.6386568042208529
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3,1.0,1076,5.132411407958275,3.627134282388271,15.087224060455057,1.0212327731216977,508,3.4330862655901693,2.535096283923851,14.604922933955873,1.1438761424487307
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3,2.0,1070,9.85282663750233,7.220803608896999,19.581981128214846,1.7983083744565487,290,5.77500454821668,3.6869401664643404,19.455290103582787,1.9382098051230023
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3,5.0,1020,23.37284393360751,18.827536340401956,24.546480373517525,4.137610352933596,23,6.025816863074791,3.3181511204907275,1.6410346748501754,0.4291493527848378
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion+YOLO,0.5,2159,13.130637999855802,5.286057543733196,1.705431809191123,0.19756164568565085,894,2.318965019390036,1.7692399823895255,1.3773181873551652,0.37594006775940325
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion+YOLO,1.0,2144,25.150601578538755,10.228258592412264,2.438812873441358,0.36028635688770366,799,4.4872742310765865,3.5231005152711643,2.2634385096910243,0.7468566520051674
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion+YOLO,2.0,2114,49.16202604001191,20.095036124821164,3.226180051559559,0.6845529171878562,617,8.738576026189582,6.63741214827741,3.805773854322341,1.604572681183881
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion+YOLO,5.0,2024,120.98927028344886,49.67902283680213,4.2553467663139175,1.2060052208525718,288,17.9595534807961,8.639305099268618,5.789970854073488,4.982472445747912
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3+YOLO,0.5,866,1.5032437210888663,0.19920161896970312,9.74465401366909,0.3757976736282731,702,1.0722084315054323,0.12888036239444756,0.6720750513181764,0.2717558809975491
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3+YOLO,1.0,898,2.708936047401703,0.29664882444715834,12.499363910261152,0.5453626309223594,651,1.8432351138421375,0.19057547197000158,1.0798916424367675,0.39140866759916043
