condition,label,dataset,matched_samples,matched_duration_s,path_len_m,anchored_rms,anchored_final,drift_pct,aligned_ate_rms,aligned_ate_max,aligned_rot_rms,yaw_rms_deg,yaw_final_deg,rpe1_trans,rpe1_rot,rpe1_pairs
measured,measured throughout,dataset_allsensor_000,17413,87.06,117.05,0.280596,0.122212,0.104411,0.189584,0.475988,0.660625,0.353084,0.19366,0.0880616,0.291094,17213
measured,measured throughout,dataset_allsensor_001,16361,81.8,113.11,0.351124,0.302974,0.267857,0.308129,0.607712,0.433704,0.417343,0.10859,0.0923347,0.244603,16161
measured,measured throughout,dataset_allsensor_002,17349,86.74,115.2,0.345274,0.346065,0.300403,0.256092,0.463558,0.344494,0.295037,-0.683897,0.075792,0.141168,17149
measured,measured throughout,dataset_allsensor_003,20473,102.36,140.609,0.668204,1.24049,0.882224,0.422598,0.808863,2.17441,3.54179,-7.19679,0.105101,0.26026,20273
measured,measured throughout,dataset_allsensor_004,20101,100.5,142.254,0.775783,0.831409,0.584454,0.493892,1.16996,2.0926,3.40875,-5.29974,0.140068,0.487686,19901
inflated,all four (EKF @ VSLAM noise),dataset_allsensor_000,17413,87.06,117.05,1.98008,1.44239,1.23228,1.31269,3.40371,6.06211,8.5854,-11.2729,0.597368,2.21691,17213
inflated,all four (EKF @ VSLAM noise),dataset_allsensor_001,16361,81.8,113.11,0.939062,1.0267,0.907701,0.681048,3.11256,3.10718,4.248,-9.48564,0.480164,2.33327,16161
inflated,all four (EKF @ VSLAM noise),dataset_allsensor_002,17349,86.74,115.2,1.31978,1.80226,1.56445,0.867636,1.9213,6.27575,9.04883,-20.7106,0.282333,1.53083,17149
inflated,all four (EKF @ VSLAM noise),dataset_allsensor_003,20473,102.36,140.609,1.57415,3.03642,2.15948,1.23003,3.46828,8.34822,9.87227,-24.7587,0.501955,3.07763,20273
inflated,all four (EKF @ VSLAM noise),dataset_allsensor_004,20101,100.5,142.254,2.65004,1.83629,1.29085,1.58283,3.97757,7.24168,12.6253,-15.1622,0.604598,2.15116,19901
gyroonly,gyroscope density,dataset_allsensor_000,17413,87.06,117.05,1.92864,1.40033,1.19635,1.28517,3.35391,5.9583,8.43987,-11.1475,0.594724,2.16593,17213
gyroonly,gyroscope density,dataset_allsensor_001,16361,81.8,113.11,0.950004,0.999972,0.884069,0.687664,3.0991,3.05771,4.22278,-9.40771,0.471302,2.28902,16161
gyroonly,gyroscope density,dataset_allsensor_002,17349,86.74,115.2,1.28399,1.74816,1.51749,0.839036,1.7993,5.9993,8.73771,-19.8325,0.271208,1.43665,17149
gyroonly,gyroscope density,dataset_allsensor_003,20473,102.36,140.609,1.49775,2.86748,2.03933,1.16603,3.24902,7.8858,9.37169,-23.418,0.476935,2.88646,20273
gyroonly,gyroscope density,dataset_allsensor_004,20101,100.5,142.254,2.6074,1.73586,1.22025,1.5467,3.88965,7.20023,12.5598,-15.2436,0.608841,2.11718,19901
acconly,accelerometer density,dataset_allsensor_000,17413,87.06,117.05,0.286229,0.119791,0.102342,0.192149,0.480629,0.672953,0.353084,0.19366,0.088436,0.291094,17213
acconly,accelerometer density,dataset_allsensor_001,16361,81.8,113.11,0.318879,0.284719,0.251718,0.281009,0.572067,0.4323,0.417343,0.10859,0.0883711,0.244603,16161
acconly,accelerometer density,dataset_allsensor_002,17349,86.74,115.2,0.339852,0.347364,0.301531,0.251364,0.456822,0.347501,0.295037,-0.683897,0.0748385,0.141168,17149
