dataset,name,n,secs,anchored_rms,anchored_max,anchored_final,yaw_rms_deg,yaw_final_deg,aligned_rot_rms,aligned_ate_rms,aligned_ate_max,anees,anees_pos,nees_samples,verdict,cov1,cov2,cov3,sx_final,sy_final,syaw_final_deg
simulation/dataset_allsensor_000,Wheel odometry,87061,87.06,4.73207,8.56351,4.76749,11.0671,13.7586,7.49161,2.80146,5.97464,569.378,286.683,87,overconfident,0.309323,0.390209,0.408265,0.245917,0.186054,1.11374
simulation/dataset_allsensor_000,IMU dead reckoning,17413,87.06,39.3532,71.7458,47.5966,1.00036,2.19269,142.635,21.6973,47.1746,311.017,264.331,87,overconfident,0.00493884,0.0222822,0.0426693,2.0906,2.22395,0.164833
simulation/dataset_allsensor_000,EKF wheel+IMU,17413,87.06,0.280596,0.449437,0.122212,0.353084,0.19366,0.660625,0.189584,0.475988,64.7398,19.5641,87,overconfident,0.425831,0.766783,0.879171,0.0669138,0.211404,1.77077
simulation/dataset_allsensor_000,EKF @ VSLAM noise,17413,87.06,1.98008,5.14968,1.44239,8.5854,11.2729,6.06211,1.31269,3.40371,12.5863,5.61185,87,overconfident,0.401482,0.46092,0.87785,0.401887,0.587121,5.07925
simulation/dataset_allsensor_000,VINS-Fusion,2628,86.691,,,,,,3.66422,0.61574,1.16525,,,,,,,,,,
simulation/dataset_allsensor_000,ORB-SLAM3,2380,86.988,,,,,,14.1727,0.578968,1.24398,,,,,,,,,,
simulation/dataset_allsensor_000,ORB-SLAM3 (no LC),2485,86.988,,,,,,15.0632,0.285222,1.73931,,,,,,,,,,
simulation/dataset_allsensor_001,Wheel odometry,81801,81.8,1.82583,3.11551,2.42639,6.89643,12.9465,4.60261,0.978853,1.46487,263.896,117.627,81,overconfident,0.0152199,0.131306,0.187357,0.207275,0.203743,1.31736
simulation/dataset_allsensor_001,IMU dead reckoning,16361,81.8,14.7279,28.5965,23.741,0.586896,1.33231,179.987,12.6167,27.471,339.922,317.262,81,overconfident,0.00103906,0.00861806,0.0205978,0.82545,0.739824,0.155368
simulation/dataset_allsensor_001,EKF wheel+IMU,16361,81.8,0.351124,0.620708,0.302974,0.417343,0.10859,0.433704,0.308135,0.607717,123.159,32.61,81,overconfident,0.194181,0.439154,0.536764,0.168111,0.201943,1.78144
simulation/dataset_allsensor_001,EKF @ VSLAM noise,16361,81.8,0.939062,4.18368,1.0267,4.248,9.48564,3.10718,0.681051,3.11256,18.469,6.26391,81,overconfident,0.427663,0.820854,0.977752,0.437291,0.623621,5.67853
simulation/dataset_allsensor_001,VINS-Fusion,2467,81.411,,,,,,0.514469,0.382601,0.522891,,,,,,,,,,
simulation/dataset_allsensor_001,ORB-SLAM3,2239,81.708,,,,,,15.8103,0.371873,1.97538,,,,,,,,,,
simulation/dataset_allsensor_001,ORB-SLAM3 (no LC),2355,81.708,,,,,,15.6002,0.516248,2.48187,,,,,,,,,,
simulation/dataset_allsensor_002,Wheel odometry,86741,86.74,2.88789,4.97818,4.3322,15.1819,30.1094,9.21426,1.48455,3.17443,729.425,413.408,85,overconfident,0.139865,0.142643,0.145456,0.180312,0.129556,1.18886
simulation/dataset_allsensor_002,IMU dead reckoning,17348,86.735,16.3588,31.9601,17.7275,0.614229,1.36085,180,13.2374,27.8055,244.748,227.822,86,overconfident,0.0173507,0.0451349,0.146933,0.642253,1.32039,0.181636
