conf,n_pred,tp,precision,recall,f1,truncated
0.9783,200,198,0.990000,0.003179,0.006338,1
0.9717,400,387,0.967500,0.006214,0.012348,1
0.9679,600,582,0.970000,0.009345,0.018511,1
0.9644,800,776,0.970000,0.012459,0.024603,1
0.9615,1000,964,0.964000,0.015478,0.030467,1
0.9589,1200,1156,0.963333,0.018561,0.036420,1
0.9562,1400,1341,0.957857,0.021531,0.042116,1
0.9541,1600,1524,0.952500,0.024469,0.047713,1
0.9518,1800,1703,0.946111,0.027343,0.053151,1
0.9494,2000,1885,0.942500,0.030266,0.058648,1
0.9473,2200,2062,0.937273,0.033107,0.063956,1
0.9454,2400,2236,0.931667,0.035901,0.069138,1
0.9432,2600,2415,0.928846,0.038775,0.074443,1
0.9413,2800,2595,0.926786,0.041665,0.079746,1
0.9396,3000,2767,0.922333,0.044427,0.084771,1
0.9378,3200,2941,0.919063,0.047221,0.089826,1
0.9362,3400,3127,0.919706,0.050207,0.095216,1
0.9346,3600,3305,0.918056,0.053065,0.100331,1
0.9329,3800,3476,0.914737,0.055811,0.105203,1
0.9309,4000,3648,0.912000,0.058572,0.110075,1
0.9292,4200,3824,0.910476,0.061398,0.115039,1
0.9276,4400,3987,0.906136,0.064015,0.119582,1
0.9260,4600,4167,0.905870,0.066905,0.124608,1
0.9247,4800,4342,0.904583,0.069715,0.129454,1
0.9233,5000,4513,0.902600,0.072461,0.134152,1
0.9220,5200,4692,0.902308,0.075335,0.139059,1
0.9209,5400,4863,0.900556,0.078080,0.143701,1
0.9197,5600,5042,0.900357,0.080954,0.148552,1
0.9183,5800,5227,0.901207,0.083925,0.153550,1
0.9171,6000,5401,0.900167,0.086718,0.158197,1
0.9158,6200,5581,0.900161,0.089609,0.162992,1
0.9146,6400,5761,0.900156,0.092499,0.167759,1
0.9134,6600,5941,0.900152,0.095389,0.172498,1
0.9121,6800,6117,0.899559,0.098215,0.177094,1
0.9110,7000,6280,0.897143,0.100832,0.181288,1
0.9097,7200,6451,0.895972,0.103577,0.185688,1
0.9085,7400,6628,0.895676,0.106419,0.190236,1
0.9073,7600,6797,0.894342,0.109133,0.194528,1
0.9059,7800,6971,0.893718,0.111926,0.198938,1
0.9048,8000,7147,0.893375,0.114752,0.203381,1
0.9034,8200,7313,0.891829,0.117418,0.207514,1
0.9022,8400,7491,0.891786,0.120276,0.211963,1
0.9010,8600,7659,0.890581,0.122973,0.216106,1
0.8996,8800,7832,0.890000,0.125751,0.220365,1
0.8984,9000,8008,0.889778,0.128576,0.224685,1
0.8972,9200,8176,0.888696,0.131274,0.228757,1
0.8960,9400,8349,0.888191,0.134052,0.232946,1
0.8948,9600,8518,0.887292,0.136765,0.237000,1
0.8935,9800,8690,0.886735,0.139527,0.241114,1
0.8922,10000,8862,0.886200,0.142288,0.245206,1
0.8909,10200,9036,0.885882,0.145082,0.249331,1
0.8897,10400,9188,0.883462,0.147523,0.252827,1
0.8884,10600,9343,0.881415,0.150011,0.256387,1
0.8872,10800,9507,0.880278,0.152644,0.260174,1
0.8860,11000,9668,0.878909,0.155229,0.263857,1
0.8849,11200,9825,0.877232,0.157750,0.267412,1
0.8838,11400,9988,0.876140,0.160367,0.271111,1
0.8825,11600,10159,0.875776,0.163113,0.275006,1
0.8810,11800,10335,0.875847,0.165939,0.279015,1
0.8796,12000,10496,0.874667,0.168524,0.282599,1
0.8784,12200,10660,0.873770,0.171157,0.286244,1
0.8770,12400,10814,0.872097,0.173630,0.289601,1
0.8758,12600,10977,0.871190,0.176247,0.293181,1
0.8744,12800,11144,0.870625,0.178928,0.296849,1
0.8733,13000,11304,0.869538,0.181497,0.300311,1
0.8719,13200,11461,0.868258,0.184018,0.303675,1
0.8707,13400,11618,0.867015,0.186539,0.307021,1
0.8694,13600,11775,0.865809,0.189059,0.310350,1
0.8682,13800,11947,0.865725,0.191821,0.314056,1
0.8669,14000,12109,0.864929,0.194422,0.317480,1
0.8656,14200,12268,0.863944,0.196975,0.320808,1
0.8643,14400,12430,0.863194,0.199576,0.324196,1
0.8630,14600,12582,0.861781,0.202017,0.327307,1
0.8616,14800,12745,0.861149,0.204634,0.330687,1
0.8601,15000,12906,0.860400,0.207219,0.333998,1
0.8589,15200,13070,0.859868,0.209852,0.337369,1
0.8574,15400,13232,0.859221,0.212453,0.340671,1
0.8560,15600,13385,0.858013,0.214910,0.343725,1
0.8546,15800,13540,0.856962,0.217398,0.346815,1
0.8532,16000,13698,0.856125,0.219935,0.349966,1
0.8516,16200,13865,0.855864,0.222616,0.353329,1
0.8502,16400,14027,0.855305,0.225218,0.356549,1
0.8488,16600,14179,0.854157,0.227658,0.359499,1
0.8473,16800,14340,0.853571,0.230243,0.362662,1
0.8459,17000,14498,0.852824,0.232780,0.365732,1
0.8442,17200,14657,0.852151,0.235333,0.368813,1
0.8426,17400,14820,0.851724,0.237950,0.371979,1
0.8411,17600,14975,0.850852,0.240439,0.374928,1
0.8397,17800,15131,0.850056,0.242943,0.377888,1
0.8381,18000,15285,0.849167,0.245416,0.380783,1
0.8365,18200,15443,0.848516,0.247953,0.383763,1
0.8350,18400,15604,0.848043,0.250538,0.386803,1
0.8337,18600,15761,0.847366,0.253059,0.389728,1
0.8321,18800,15928,0.847234,0.255740,0.392886,1
0.8306,19000,16079,0.846263,0.258164,0.395635,1
0.8290,19200,16230,0.845313,0.260589,0.398370,1
0.8275,19400,16377,0.844175,0.262949,0.400994,1
0.8259,19600,16532,0.843469,0.265438,0.403801,1
0.8242,19800,16689,0.842879,0.267959,0.406642,1
0.8227,20000,16841,0.842050,0.270399,0.409348,1
0.8212,20200,16985,0.840842,0.272711,0.411847,1
0.8196,20400,17127,0.839559,0.274991,0.414286,1
0.8182,20600,17272,0.838447,0.277319,0.416785,1
0.8166,20800,17417,0.837356,0.279647,0.419273,1
0.8150,21000,17557,0.836048,0.281895,0.421628,1
0.8133,21200,17692,0.834528,0.284063,0.423852,1
0.8115,21400,17838,0.833551,0.286407,0.426328,1
0.8100,21600,17987,0.832731,0.288799,0.428864,1
0.8085,21800,18131,0.831697,0.291111,0.431269,1
0.8069,22000,18282,0.831000,0.293536,0.433829,1
0.8053,22200,18428,0.830090,0.295880,0.436259,1
0.8036,22400,18560,0.828571,0.297999,0.438346,1
0.8021,22600,18717,0.828186,0.300520,0.441012,1
0.8006,22800,18860,0.827193,0.302816,0.443337,1
0.7990,23000,18996,0.825913,0.305000,0.445487,1
0.7974,23200,19153,0.825560,0.307521,0.448118,1
0.7955,23400,19302,0.824872,0.309913,0.450550,1
0.7940,23600,19448,0.824068,0.312257,0.452900,1
0.7924,23800,19601,0.823571,0.314714,0.455403,1
0.7906,24000,19735,0.822292,0.316865,0.457453,1
0.7888,24200,19877,0.821364,0.319145,0.459679,1
0.7870,24400,20028,0.820820,0.321570,0.462103,1
0.7850,24600,20170,0.819919,0.323850,0.464308,1
0.7832,24800,20306,0.818790,0.326033,0.466365,1
0.7814,25000,20438,0.817520,0.328153,0.468321,1
0.7796,25200,20584,0.816825,0.330497,0.470588,1
0.7779,25400,20725,0.815945,0.332761,0.472731,1
0.7763,25600,20866,0.815078,0.335025,0.474864,1
0.7745,25800,20992,0.813643,0.337048,0.476647,1
0.7726,26000,21125,0.812500,0.339183,0.478580,1
0.7709,26200,21255,0.811260,0.341270,0.480437,1
0.7689,26400,21385,0.810038,0.343358,0.482285,1
0.7671,26600,21517,0.808910,0.345477,0.484170,1
0.7652,26800,21654,0.807985,0.347677,0.486159,1
0.7631,27000,21806,0.807630,0.350117,0.488475,1
0.7610,27200,21942,0.806691,0.352301,0.490423,1
0.7592,27400,22087,0.806095,0.354629,0.492563,1
0.7572,27600,22227,0.805326,0.356877,0.494582,1
0.7553,27800,22365,0.804496,0.359093,0.496548,1
0.7531,28000,22508,0.803857,0.361389,0.498615,1
0.7511,28200,22643,0.802943,0.363556,0.500497,1
0.7489,28400,22779,0.802077,0.365740,0.502393,1
0.7470,28600,22916,0.801259,0.367939,0.504302,1
0.7449,28800,23043,0.800104,0.369978,0.505984,1
0.7429,29000,23182,0.799379,0.372210,0.507921,1
0.7406,29200,23315,0.798459,0.374346,0.509718,1
0.7385,29400,23452,0.797687,0.376545,0.511594,1
0.7365,29600,23591,0.796993,0.378777,0.513506,1
0.7344,29800,23724,0.796107,0.380913,0.515280,1
0.7324,30000,23855,0.795167,0.383016,0.517002,1
0.7303,30200,23994,0.794503,0.385248,0.518890,1
0.7283,30400,24124,0.793553,0.387335,0.520576,1
0.7264,30600,24249,0.792451,0.389342,0.522146,1
0.7241,30800,24375,0.791396,0.391365,0.523732,1
0.7219,31000,24516,0.790839,0.393629,0.525632,1
0.7199,31200,24647,0.789968,0.395732,0.527310,1
0.7179,31400,24780,0.789172,0.397868,0.529024,1
0.7158,31600,24907,0.788196,0.399907,0.530602,1
0.7136,31800,25036,0.787296,0.401978,0.532217,1
0.7113,32000,25162,0.786312,0.404001,0.533760,1
0.7093,32200,25298,0.785652,0.406185,0.535509,1
0.7071,32400,25420,0.784568,0.408144,0.536955,1
0.7049,32600,25555,0.783896,0.410311,0.538669,1
0.7029,32800,25679,0.782896,0.412302,0.540144,1
0.7008,33000,25806,0.782000,0.414341,0.541676,1
0.6984,33200,25938,0.781265,0.416461,0.543307,1
0.6961,33400,26079,0.780808,0.418725,0.545118,1
0.6938,33600,26208,0.780000,0.420796,0.546672,1
0.6913,33800,26331,0.779024,0.422771,0.548094,1
0.6888,34000,26455,0.778088,0.424762,0.549532,1
0.6867,34200,26583,0.777281,0.426817,0.551046,1
0.6842,34400,26707,0.776366,0.428808,0.552471,1
0.6822,34600,26839,0.775694,0.430927,0.554055,1
0.6797,34800,26964,0.774828,0.432934,0.555489,1
0.6776,35000,27087,0.773914,0.434909,0.556876,1
0.6754,35200,27216,0.773182,0.436980,0.558380,1
0.6728,35400,27332,0.772090,0.438843,0.559612,1
0.6705,35600,27462,0.771404,0.440930,0.561125,1
0.6681,35800,27577,0.770307,0.442776,0.562325,1
0.6655,36000,27693,0.769250,0.444639,0.563542,1
0.6632,36200,27808,0.768177,0.446485,0.564733,1
0.6609,36400,27939,0.767555,0.448589,0.566243,1
0.6586,36600,28048,0.766339,0.450339,0.567302,1
0.6565,36800,28168,0.765435,0.452266,0.568580,1
0.6542,37000,28284,0.764432,0.454128,0.569771,1
0.6518,37200,28407,0.763629,0.456103,0.571098,1
0.6494,37400,28523,0.762647,0.457965,0.572280,1
0.6468,37600,28641,0.761729,0.459860,0.573497,1
0.6442,37800,28755,0.760714,0.461690,0.574629,1
0.6417,38000,28862,0.759526,0.463408,0.575617,1
0.6388,38200,28980,0.758639,0.465303,0.576820,1
0.6362,38400,29106,0.757969,0.467326,0.578177,1
0.6338,38600,29235,0.757383,0.469397,0.579588,1
0.6312,38800,29359,0.756675,0.471388,0.580895,1
0.6286,39000,29469,0.755615,0.473154,0.581920,1
0.6259,39200,29588,0.754796,0.475065,0.583118,1
0.6235,39400,29704,0.753909,0.476928,0.584253,1
0.6210,39600,29808,0.752727,0.478597,0.585148,1
0.6186,39800,29932,0.752060,0.480588,0.586431,1
0.6163,40000,30043,0.751075,0.482371,0.587454,1
0.6137,40200,30150,0.750000,0.484089,0.588396,1
0.6107,40400,30263,0.749084,0.485903,0.589451,1
0.6080,40600,30369,0.748005,0.487605,0.590366,1
0.6051,40800,30482,0.747108,0.489419,0.591413,1
0.6027,41000,30600,0.746341,0.491314,0.592552,1
0.6001,41200,30717,0.745558,0.493192,0.593668,1
0.5970,41400,30827,0.744614,0.494958,0.594645,1
0.5941,41600,30929,0.743486,0.496596,0.595464,1
0.5915,41800,31036,0.742488,0.498314,0.596376,1
0.5888,42000,31138,0.741381,0.499952,0.597188,1
0.5859,42200,31245,0.740403,0.501670,0.598093,1
0.5834,42400,31359,0.739599,0.503500,0.599129,1
0.5805,42600,31463,0.738568,0.505170,0.599969,1
0.5778,42800,31567,0.737547,0.506840,0.600807,1
0.5751,43000,31665,0.736395,0.508413,0.601527,1
0.5724,43200,31772,0.735463,0.510131,0.602416,1
0.5695,43400,31884,0.734654,0.511930,0.603395,1
0.5665,43600,32001,0.733968,0.513808,0.604465,1
0.5636,43800,32107,0.733037,0.515510,0.605324,1
0.5609,44000,32196,0.731727,0.516939,0.605860,1
0.5580,44200,32312,0.731041,0.518802,0.606901,1
0.5550,44400,32414,0.730045,0.520439,0.607675,1
0.5521,44600,32511,0.728946,0.521997,0.608353,1
0.5488,44800,32619,0.728103,0.523731,0.609234,1
0.5462,45000,32715,0.727000,0.525272,0.609888,1
0.5432,45200,32811,0.725907,0.526814,0.610539,1
0.5404,45400,32917,0.725044,0.528515,0.611374,1
0.5373,45600,33010,0.723904,0.530009,0.611965,1
0.5344,45800,33113,0.722991,0.531662,0.612738,1
0.5316,46000,33207,0.721891,0.533172,0.613343,1
0.5285,46200,33298,0.720736,0.534633,0.613890,1
0.5256,46400,33389,0.719591,0.536094,0.614435,1
0.5228,46600,33489,0.718648,0.537699,0.615143,1
0.5197,46800,33582,0.717564,0.539193,0.615720,1
0.5172,47000,33684,0.716681,0.540830,0.616460,1
0.5141,47200,33774,0.715551,0.542275,0.616978,1
0.5112,47400,33865,0.714451,0.543737,0.617512,1
0.5081,47600,33965,0.713550,0.545342,0.618209,1
0.5050,47800,34064,0.712636,0.546932,0.618884,1
0.5022,48000,34157,0.711604,0.548425,0.619448,1
0.4995,48200,34255,0.710685,0.549998,0.620101,1
0.4965,48400,34352,0.709752,0.551556,0.620733,1
0.4937,48600,34435,0.708539,0.552888,0.621111,1
0.4903,48800,34529,0.707561,0.554398,0.621685,1
0.4873,49000,34618,0.706490,0.555827,0.622167,1
0.4843,49200,34704,0.705366,0.557208,0.622594,1
0.4812,49400,34789,0.704231,0.558572,0.623001,1
0.4784,49600,34868,0.702984,0.559841,0.623300,1
0.4759,49800,34952,0.701847,0.561189,0.623686,1
0.4727,50000,35041,0.700820,0.562618,0.624161,1
0.4701,50200,35111,0.699422,0.563742,0.624295,1
0.4676,50400,35183,0.698075,0.564898,0.624465,1
0.4650,50600,35275,0.697134,0.566376,0.624989,1
0.4618,50800,35355,0.695965,0.567660,0.625298,1
0.4590,51000,35442,0.694941,0.569057,0.625730,1
0.4560,51200,35532,0.693984,0.570502,0.626214,1
0.4531,51400,35611,0.692821,0.571770,0.626502,1
0.4504,51600,35688,0.691628,0.573007,0.626754,1
0.4475,51800,35772,0.690579,0.574355,0.627128,1
0.4448,52000,35853,0.689481,0.575656,0.627448,1
0.4414,52200,35926,0.688238,0.576828,0.627627,1
0.4380,52400,36011,0.687233,0.578193,0.628015,1
0.4348,52600,36090,0.686122,0.579461,0.628297,1
0.4316,52800,36170,0.685038,0.580746,0.628595,1
0.4287,53000,36250,0.683962,0.582030,0.628893,1
0.4260,53200,36321,0.682726,0.583170,0.629033,1
0.4231,53400,36382,0.681311,0.584150,0.629000,1
0.4198,53600,36454,0.680112,0.585306,0.629157,1
0.4172,53800,36529,0.678978,0.586510,0.629365,1
0.4143,54000,36604,0.677852,0.587714,0.629573,1
0.4118,54200,36666,0.676494,0.588709,0.629556,1
0.4089,54400,36738,0.675331,0.589865,0.629712,1
0.4062,54600,36806,0.674103,0.590957,0.629798,1
0.4037,54800,36861,0.672646,0.591840,0.629661,1
0.4009,55000,36930,0.671455,0.592948,0.629764,1
0.3981,55200,37007,0.670417,0.594185,0.630003,1
0.3953,55400,37089,0.669477,0.595501,0.630326,1
0.3926,55600,37164,0.668417,0.596705,0.630529,1
0.3898,55800,37215,0.666935,0.597524,0.630325,1
0.3872,56000,37286,0.665821,0.598664,0.630459,1
0.3844,56200,37356,0.664698,0.599788,0.630577,1
0.3818,56400,37418,0.663440,0.600784,0.630559,1
0.3790,56600,37486,0.662297,0.601875,0.630642,1
0.3768,56800,37549,0.661074,0.602887,0.630641,1
0.3740,57000,37617,0.659947,0.603979,0.630724,1
0.3716,57200,37675,0.658654,0.604910,0.630639,1
0.3689,57400,37733,0.657369,0.605841,0.630554,1
0.3661,57600,37781,0.655920,0.606612,0.630303,1
0.3636,57800,37843,0.654723,0.607607,0.630286,1
0.3609,58000,37914,0.653690,0.608747,0.630419,1
0.3580,58200,37987,0.652698,0.609919,0.630584,1
0.3555,58400,38053,0.651592,0.610979,0.630633,1
0.3525,58600,38113,0.650392,0.611942,0.630582,1
0.3500,58776,38166,0.649347,0.612793,0.630541,1
