t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
98910000000,9.02274118e-24,3.74849031e-11,2.01468907e-08,2.99939612e-06,5.87567791e-06,-1.83906655e-17,0,0
98915000000,3.16577572e-20,2.24939612e-10,4.0587564e-08,4.99939612e-06,5.87572791e-06,-1.255161e-15,2.2339401e-14,1.96995051e-19
98920000000,1.98259777e-19,6.62364128e-10,6.13220225e-08,6.99939612e-06,5.87577791e-06,-5.63149231e-15,7.51036847e-14,8.33432048e-19
98925000000,2.58707303e-19,1.44975845e-09,8.23502687e-08,8.99939612e-06,5.87582791e-06,-1.4539085e-14,-5.75151134e-14,-8.51772297e-19
98930000000,1.39743704e-18,2.67448975e-09,1.03668111e-07,1.09507238e-05,5.86916779e-06,-2.93381786e-14,-2.89219819e-13,-3.89570222e-18
98935000000,5.95867111e-18,4.45276551e-09,1.25282095e-07,1.29507238e-05,5.86921779e-06,-6.05648392e-14,-7.14474209e-13,-1.32424513e-17
98940000000,1.8704865e-17,6.87857747e-09,1.47189538e-07,1.49507238e-05,5.86926779e-06,-1.04267093e-13,-1.42804239e-12,-2.80230014e-17
98945000000,5.537554e-17,1.00519256e-08,1.69390444e-07,1.69507238e-05,5.86931779e-06,-1.43786188e-13,-2.73335045e-12,-4.07474834e-17
98950000000,1.22309509e-16,1.39553164e-08,1.91871257e-07,1.87788692e-05,5.86267252e-06,-2.28957815e-13,-4.33277971e-12,-8.43018418e-17
98955000000,2.31023764e-16,1.88745052e-08,2.14655914e-07,2.07788692e-05,5.86272252e-06,-3.47757482e-13,-6.29701563e-12,-1.42712714e-16
98960000000,3.9198084e-16,2.48326375e-08,2.37733706e-07,2.27788692e-05,5.86277252e-06,-4.313869e-13,-8.65973079e-12,-1.65691905e-16
98965000000,6.21725843e-16,3.19297133e-08,2.61104635e-07,2.47788692e-05,5.86282252e-06,-5.24744922e-13,-1.14500491e-11,-1.9196226e-16
98970000000,9.50144472e-16,3.97896068e-08,2.84740482e-07,2.64133425e-05,5.85619204e-06,-6.79627935e-13,-1.47976937e-11,-2.65924823e-16
98975000000,1.46462947e-15,4.93235083e-08,3.08693185e-07,2.84133425e-05,5.85624204e-06,-8.9781615e-13,-1.92091608e-11,-3.87296557e-16
98980000000,2.12132213e-15,6.0278077e-08,3.32938698e-07,3.04133425e-05,5.85629204e-06,-1.13919111e-12,-2.40351983e-11,-5.07120017e-16
98985000000,2.90037577e-15,7.27533128e-08,3.57477025e-07,3.24133425e-05,5.85634204e-06,-1.42494863e-12,-2.9085675e-11,-6.37296013e-16
98990000000,3.90843026e-15,8.55346146e-08,3.82260014e-07,3.37907063e-05,5.84972633e-06,-1.72852062e-12,-3.49208551e-11,-7.90322908e-16
98995000000,5.19974158e-15,1.01049521e-07,4.07378143e-07,3.57907063e-05,5.84977633e-06,-1.90755023e-12,-4.16540653e-11,-8.15820959e-16
99000000000,6.96985897e-15,1.18353963e-07,4.32788759e-07,3.77907063e-05,5.84982633e-06,-1.95511145e-12,-4.98948252e-11,-7.26041491e-16
99005000000,9.1687096e-15,1.3754794e-07,4.58491866e-07,3.97907063e-05,5.84987633e-06,-2.01962515e-12,-5.9046146e-11,-6.60010248e-16
99010000000,1.17133243e-14,1.55832387e-07,4.8441415e-07,4.0856473e-05,5.84327531e-06,-1.90993988e-12,-6.86615116e-11,-4.83906549e-16
99015000000,1.49760702e-14,1.78561655e-07,5.10695094e-07,4.2856473e-05,5.84332531e-06,-1.76384908e-12,-7.98568964e-11,-2.5072769e-16
99020000000,1.89098893e-14,2.03433748e-07,5.37268204e-07,4.4856473e-05,5.84337531e-06,-1.77103166e-12,-9.21551355e-11,-1.75405974e-16
99025000000,2.35284726e-14,2.30548664e-07,5.64133482e-07,4.6856473e-05,5.84342531e-06,-2.01772518e-12,-1.05406444e-10,-3.21926166e-16
99030000000,2.86850479e-14,2.54498319e-07,5.91187257e-07,4.756637e-05,5.83683894e-06,-2.39669431e-12,-1.19118625e-10,-6.01511485e-16
99035000000,3.45184379e-14,2.85523659e-07,6.18628416e-07,4.956637e-05,5.83688894e-06,-2.88833572e-12,-1.33613239e-10,-9.22728532e-16
99040000000,4.17503234e-14,3.19027318e-07,6.46361419e-07,5.156637e-05,5.83693894e-06,-3.41323771e-12,-1.50321694e-10,-1.27315287e-15
99045000000,5.06814453e-14,3.55109295e-07,6.74386267e-07,5.356637e-05,5.83698894e-06,-4.31116418e-12,-1.69428634e-10,-1.98420037e-15
99050000000,6.08831678e-14,3.8446408e-07,7.02563774e-07,5.38869448e-05,5.83041718e-06,-5.40646343e-12,-1.89722516e-10,-2.96479644e-15
99055000000,7.24814962e-14,4.24703893e-07,7.31162555e-07,5.58869448e-05,5.83046718e-06,-6.22519571e-12,-2.11340616e-10,-3.50771922e-15
99060000000,8.51689837e-14,4.67738053e-07,7.60052859e-07,5.78869448e-05,5.83051718e-06,-6.8885691e-12,-2.33625649e-10,-3.85299515e-15
99065000000,9.95091221e-14,5.13666561e-07,7.89234687e-07,5.98869448e-05,5.83056718e-06,-7.94904058e-12,-2.57379058e-10,-4.55359595e-15
99070000000,1.13945721e-13,5.4777231e-07,8.1852821e-07,5.97955459e-05,5.82400998e-06,-8.85004941e-12,-2.80221247e-10,-5.23085713e-15
99075000000,1.28815159e-13,5.97976873e-07,8.48282029e-07,6.17955459e-05,5.82405998e-06,-9.78749811e-12,-3.02899804e-10,-5.68383233e-15
99080000000,1.44309576e-13,6.51271213e-07,8.78327049e-07,6.37955459e-05,5.82410998e-06,-1.09072537e-11,-3.25729788e-10,-6.2322183e-15
99085000000,1.62353892e-13,7.0775533e-07,9.08663275e-07,6.57955459e-05,5.82415998e-06,-1.2212516e-11,-3.51200979e-10,-6.93247309e-15
99090000000,1.80480884e-13,7.45616096e-07,9.39065141e-07,6.52797713e-05,5.81761727e-06,-1.29018154e-11,-3.76011487e-10,-7.38629752e-15
99095000000,1.99321373e-13,8.06368928e-07,9.69971422e-07,6.72797713e-05,5.81766727e-06,-1.35680955e-11,-4.0112465e-10,-7.52027788e-15
99100000000,2.18649442e-13,8.70485748e-07,1.00116859e-06,6.92797713e-05,5.81771727e-06,-1.47731456e-11,-4.26238391e-10,-8.01872059e-15
99105000000,2.4023043e-13,9.38066557e-07,1.03265663e-06,7.12797713e-05,5.81776727e-06,-1.68116981e-11,-4.53367657e-10,-9.10239289e-15
99110000000,2.63579634e-13,9.78413381e-07,1.06415921e-06,7.0336506e-05,5.81123903e-06,-1.89724009e-11,-4.81781804e-10,-1.06810314e-14
99115000000,2.91275083e-13,1.05013783e-06,1.09621539e-06,7.2336506e-05,5.81128903e-06,-2.22153487e-11,-5.142038e-10,-1.27726141e-14
99120000000,3.21075522e-13,1.1254791e-06,1.12856213e-06,7.4336506e-05,5.81133903e-06,-2.58770144e-11,-5.47942072e-10,-1.5091421e-14
99125000000,3.55722909e-13,1.2045372e-06,1.16119944e-06,7.6336506e-05,5.81138903e-06,-3.11224368e-11,-5.85532253e-10,-1.88121286e-14
