t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
57520000000,4.7719527e-22,1.99588211e-11,3.71959714e-10,1.99092194e-06,7.52338386e-08,9.75922898e-17,0,0
57525000000,6.86532343e-21,1.3922313e-10,9.56156115e-10,3.53987114e-06,7.52343386e-08,9.25335303e-16,-5.12121266e-16,3.9058003e-21
57530000000,2.68065215e-20,4.35480995e-10,1.54411422e-09,5.08882034e-06,7.52348386e-08,3.3489561e-15,7.14663371e-16,-6.98333162e-21
57535000000,1.42244108e-20,9.86179878e-10,2.13583405e-09,6.63776954e-06,7.52353386e-08,5.76547355e-16,3.3131728e-15,2.62439569e-20
57540000000,2.11736228e-19,1.85991612e-09,2.545937e-09,7.67289321e-06,7.52347035e-08,-1.57005855e-14,7.7092683e-15,1.60625796e-19
57545000000,8.30626686e-19,3.12006101e-09,3.14518007e-09,9.22184241e-06,7.52352035e-08,-4.6036574e-14,8.82769607e-15,1.98061621e-19
57550000000,1.927222e-18,4.84129801e-09,3.74818489e-09,1.07707916e-05,7.52357035e-08,-9.10489688e-14,8.27972658e-15,1.79752041e-19
57555000000,4.18409795e-18,7.1010746e-09,4.35495148e-09,1.23197408e-05,7.52362035e-08,-1.6541212e-13,7.9000739e-15,1.63229069e-19
57560000000,9.10047484e-18,9.93163505e-09,4.78009969e-09,1.33111381e-05,7.52355683e-08,-2.90599853e-13,6.70761212e-15,9.23020895e-20
57565000000,1.69248695e-17,1.34549062e-08,5.39438938e-09,1.48600873e-05,7.52360683e-08,-4.6360632e-13,1.56467007e-15,-2.31832288e-19
57570000000,2.90007029e-17,1.77211817e-08,6.01244086e-09,1.64090365e-05,7.52365683e-08,-6.98338467e-13,1.27729733e-14,5.43670873e-19
57575000000,4.42857543e-17,2.2807909e-08,6.63425415e-09,1.79579857e-05,7.52370683e-08,-9.82034412e-13,2.02025343e-14,1.03618491e-18
57580000000,6.16801849e-17,2.86217206e-08,7.07444665e-09,1.88804836e-05,7.52364332e-08,-1.3019393e-12,3.11074199e-14,1.70903525e-18
