t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
57520000000,4.77198592e-22,1.99588211e-11,3.71959731e-10,1.99092194e-06,7.52348912e-08,9.75926295e-17,0,0
57525000000,6.86540089e-21,1.3922313e-10,9.561562e-10,3.53987114e-06,7.52353912e-08,9.25341094e-16,-5.12121318e-16,3.90582902e-21
57530000000,2.68069782e-20,4.35480995e-10,1.54411443e-09,5.08882034e-06,7.52358912e-08,3.34898553e-15,7.1466346e-16,-6.98342433e-21
57535000000,1.42244526e-20,9.86179878e-10,2.13583443e-09,6.63776954e-06,7.52363912e-08,5.76639945e-16,3.31317339e-15,2.6243505e-20
57540000000,2.11728236e-19,1.85991612e-09,2.54593821e-09,7.67289321e-06,7.52368088e-08,-1.57001778e-14,7.70927182e-15,1.60623056e-19
57545000000,8.30591053e-19,3.12006101e-09,3.14518184e-09,9.22184241e-06,7.52373088e-08,-4.60354839e-14,8.82770094e-15,1.98058084e-19
57550000000,1.92713019e-18,4.84129801e-09,3.74818733e-09,1.07707916e-05,7.52378088e-08,-9.10467087e-14,8.27973192e-15,1.79749017e-19
57555000000,4.18389486e-18,7.1010746e-09,4.35495469e-09,1.23197408e-05,7.52383088e-08,-1.65408026e-13,7.90007972e-15,1.63226462e-19
57560000000,9.10005292e-18,9.93163505e-09,4.7801058e-09,1.33111381e-05,7.52387263e-08,-2.90593039e-13,6.70762044e-15,9.23009525e-20
57565000000,1.69240966e-17,1.34549062e-08,5.39439696e-09,1.48600873e-05,7.52392263e-08,-4.63595657e-13,1.564672e-15,-2.3182679e-19
57570000000,2.89993929e-17,1.77211817e-08,6.01245006e-09,1.64090365e-05,7.52397263e-08,-6.98322592e-13,1.27729927e-14,5.43660533e-19
57575000000,4.42837132e-17,2.2807909e-08,6.63426514e-09,1.79579857e-05,7.52402263e-08,-9.82011674e-13,2.02025678e-14,1.03616311e-18
57580000000,6.16772511e-17,2.86217206e-08,7.0744639e-09,1.88804836e-05,7.52406439e-08,-1.30190822e-12,3.11074946e-14,1.70899708e-18
