t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
57520000000,5.72398191e-22,2.44981721e-11,3.06411682e-10,3.12635467e-06,1.39782301e-07,1.18417522e-16,0,0
57525000000,9.07088113e-21,2.05943134e-10,7.90771221e-10,6.44972739e-06,1.39782801e-07,1.36152136e-15,-1.19509167e-16,8.8972924e-22
57530000000,4.98692043e-20,7.09874465e-10,1.28211989e-09,9.77310011e-06,1.39783301e-07,5.38532216e-15,2.66625155e-15,-2.29362045e-20
57535000000,8.25331204e-20,1.7024608e-09,1.78045771e-09,1.30964728e-05,1.39783801e-07,-1.33678699e-16,9.30476129e-15,6.46901427e-20
57540000000,6.82710992e-19,3.31727025e-09,2.13369454e-09,1.52514523e-05,1.39779818e-07,-3.1711137e-14,2.18081619e-14,4.53338821e-19
57545000000,2.33814693e-18,5.70635583e-09,2.64600955e-09,1.8574825e-05,1.39780318e-07,-9.172597e-14,3.54928766e-14,9.23329966e-19
57550000000,5.29133681e-18,9.02418266e-09,3.16531357e-09,2.18981978e-05,1.39780818e-07,-1.82325057e-13,5.41795737e-14,1.55173231e-18
57555000000,1.11959105e-17,1.34369194e-08,3.69160662e-09,2.52215705e-05,1.39781318e-07,-3.33082883e-13,8.07810672e-14,2.69132875e-18
57560000000,2.32956427e-17,1.88657405e-08,4.07279246e-09,2.70988881e-05,1.39777335e-07,-5.82521363e-13,1.16366522e-13,4.80333385e-18
57565000000,4.24095647e-17,2.58011847e-08,4.61306156e-09,3.04222608e-05,1.39777835e-07,-9.33655607e-13,1.56466876e-13,7.35450439e-18
57570000000,7.31533768e-17,3.4257742e-08,5.16031953e-09,3.37456335e-05,1.39778335e-07,-1.41288856e-12,2.22404518e-13,1.199098e-17
57575000000,1.1304429e-16,4.44015809e-08,5.71456641e-09,3.70690062e-05,1.39778835e-07,-1.99647354e-12,2.98500408e-13,1.71431411e-17
57580000000,1.59421367e-16,5.540448e-08,6.12369628e-09,3.85110242e-05,1.39774852e-07,-2.62610449e-12,3.92402894e-13,2.30913853e-17
57585000000,2.30336721e-16,6.90559851e-08,6.69191807e-09,4.18343969e-05,1.39775352e-07,-3.52171745e-12,4.95419262e-13,3.11028521e-17
57590000000,3.46701053e-16,8.479921e-08,7.26712861e-09,4.51577697e-05,1.39775852e-07,-4.80564072e-12,6.2205644e-13,4.425144e-17
57595000000,5.1331752e-16,1.02800323e-07,7.84932794e-09,4.84811424e-05,1.39776352e-07,-6.46909797e-12,7.66685059e-13,6.13743438e-17
57600000000,7.15020119e-16,1.20471537e-07,8.28639685e-09,4.93537659e-05,1.3977237e-07,-8.26435309e-12,9.36222168e-13,8.21977705e-17
57605000000,9.78872976e-16,1.42774076e-07,8.88256994e-09,5.26771386e-05,1.3977287e-07,-1.05456748e-11,1.1220109e-12,1.05520201e-16
57610000000,1.30638454e-15,1.67710472e-07,9.48573166e-09,5.60005113e-05,1.3977337e-07,-1.32611873e-11,1.30787701e-12,1.30206117e-16
57615000000,1.72588343e-15,1.95446893e-07,1.0095882e-08,5.93238841e-05,1.3977387e-07,-1.64970155e-11,1.53075753e-12,1.61977847e-16
57620000000,2.20476257e-15,2.20103112e-07,1.0560885e-08,5.95217956e-05,1.39769887e-07,-1.97683701e-11,1.78794133e-12,2.01740857e-16
57625000000,2.84375629e-15,2.52709693e-07,1.1185008e-08,6.28451684e-05,1.39770387e-07,-2.41097681e-11,2.06287561e-12,2.46558231e-16
57630000000,3.67070355e-15,2.88458531e-07,1.18161195e-08,6.61685411e-05,1.39770887e-07,-2.93482286e-11,2.36724523e-12,3.02112689e-16
57635000000,4.73904686e-15,3.27515797e-07,1.24542195e-08,6.94919138e-05,1.39771387e-07,-3.56715477e-11,2.69041769e-12,3.68258756e-16
57640000000,5.77589696e-15,3.58682078e-07,1.29471516e-08,6.89409299e-05,1.39767405e-07,-4.11883512e-11,3.04434743e-12,4.39290237e-16
57645000000,7.20703647e-15,4.02936654e-07,1.35992231e-08,7.22643026e-05,1.39767905e-07,-4.88974408e-11,3.42210639e-12,5.20472668e-16
57650000000,9.03262604e-15,4.50804445e-07,1.4258283e-08,7.55876753e-05,1.39768405e-07,-5.81567903e-11,3.79648815e-12,6.11662737e-16
57655000000,1.1075331e-14,5.0245162e-07,1.49243313e-08,7.89110481e-05,1.39768905e-07,-6.82470001e-11,4.18267702e-12,7.04287749e-16
57660000000,1.27143372e-14,5.38934074e-07,1.54451875e-08,7.75677654e-05,1.39764923e-07,-7.5667827e-11,4.60060397e-12,7.9532315e-16
57665000000,1.48713557e-14,5.95863875e-07,1.61252061e-08,8.08911382e-05,1.39765423e-07,-8.62096858e-11,5.03968038e-12,8.88134476e-16
57670000000,1.74082764e-14,6.56838233e-07,1.6812213e-08,8.42145109e-05,1.39765923e-07,-9.80884872e-11,5.52612972e-12,9.97872628e-16
57675000000,2.03006318e-14,7.22023316e-07,1.75062082e-08,8.75378836e-05,1.39766423e-07,-1.11293647e-10,6.01451345e-12,1.11291991e-15
57680000000,2.24469261e-14,7.62045787e-07,1.80549835e-08,8.53871261e-05,1.39762441e-07,-1.19983821e-10,6.54603233e-12,1.23139967e-15
57685000000,2.55955619e-14,8.32370446e-07,1.87629479e-08,8.87104989e-05,1.39762941e-07,-1.34093706e-10,7.08406569e-12,1.3525481e-15
57690000000,2.91319245e-14,9.0713063e-07,1.94779004e-08,9.20338716e-05,1.39763441e-07,-1.49547213e-10,7.65554416e-12,1.48586301e-15
57695000000,3.25627655e-14,9.86492507e-07,2.0199841e-08,9.53572443e-05,1.39763941e-07,-1.64866994e-10,8.3056028e-12,1.61974807e-15
57700000000,3.46420974e-14,1.02786926e-06,2.07765305e-08,9.24080026e-05,1.39759959e-07,-1.72933028e-10,8.9664213e-12,1.74862722e-15
57705000000,3.8427603e-14,1.11202301e-06,2.15124392e-08,9.57313753e-05,1.39760459e-07,-1.89439369e-10,9.6586154e-12,1.89356972e-15
57710000000,4.27566593e-14,1.20096332e-06,2.22553359e-08,9.9054748e-05,1.39760959e-07,-2.07637174e-10,1.04154247e-11,2.06255601e-15
57715000000,4.75322516e-14,1.29485637e-06,2.30052206e-08,0.000102378121,1.39761459e-07,-2.27261754e-10,1.12298392e-11,2.249359e-15
57720000000,5.03744306e-14,1.33517387e-06,2.36098193e-08,9.86587024e-05,1.39757477e-07,-2.36604863e-10,1.20498941e-11,2.43202918e-15
57725000000,5.54456944e-14,1.43333662e-06,2.4373671e-08,0.000101982075,1.39757977e-07,-2.5699825e-10,1.29472903e-11,2.63264187e-15
57730000000,6.10913532e-14,1.53659848e-06,2.51445105e-08,0.000105305448,1.39758477e-07,-2.79121892e-10,1.39011316e-11,2.8555954e-15
57735000000,6.73938073e-14,1.64512562e-06,2.59223379e-08,0.000108628821,1.39758977e-07,-3.03038462e-10,1.49552758e-11,3.11184017e-15
57740000000,7.11442013e-14,1.68191178e-06,2.65548408e-08,0.000104181837,1.39754996e-07,-3.1333555e-10,1.59914606e-11,3.3693341e-15
57745000000,7.80596991e-14,1.79404524e-06,2.7346634e-08,0.00010750521,1.39755496e-07,-3.38926851e-10,1.70315495e-11,3.63200304e-15
57750000000,8.50417297e-14,1.91155397e-06,2.8145415e-08,0.000110828583,1.39755996e-07,-3.65286705e-10,1.80182267e-11,3.87193936e-15
57755000000,9.22425545e-14,2.03460412e-06,2.89511837e-08,0.000114151955,1.39756496e-07,-3.9257291e-10,1.90342508e-11,4.11274126e-15
57760000000,9.5561722e-14,2.06547083e-06,2.96115859e-08,0.000109029617,1.39752515e-07,-4.00692231e-10,2.01043317e-11,4.36123944e-15
57765000000,1.02390562e-13,2.19135615e-06,3.04313192e-08,0.00011235299,1.39753015e-07,-4.26886348e-10,2.12166531e-11,4.59566936e-15
57770000000,1.08880272e-13,2.32285912e-06,3.12580402e-08,0.000115676363,1.39753515e-07,-4.52675888e-10,2.23553881e-11,4.81164445e-15
57775000000,1.15293451e-13,2.46014591e-06,3.20917488e-08,0.000118999735,1.39754015e-07,-4.78617358e-10,2.35438517e-11,5.02286353e-15
57780000000,1.16822506e-13,2.48289768e-06,3.27800453e-08,0.000113259749,1.39750034e-07,-4.80773176e-10,2.47448244e-11,5.23021794e-15
57785000000,1.23132968e-13,2.62217219e-06,3.36277174e-08,0.000116583122,1.39750534e-07,-5.06179797e-10,2.60091713e-11,5.44317337e-15
57790000000,1.30079824e-13,2.76727585e-06,3.4482377e-08,0.000119906495,1.39751034e-07,-5.33550695e-10,2.73021565e-11,5.67651259e-15
57795000000,1.38088218e-13,2.91837483e-06,3.53440241e-08,0.000123229868,1.39751534e-07,-5.63964422e-10,2.8626974e-11,5.94566449e-15
57800000000,1.40546731e-13,2.93108253e-06,3.60602099e-08,0.000116932085,1.39747553e-07,-5.6644511e-10,2.99861491e-11,6.21796849e-15
57805000000,1.49096636e-13,3.08327374e-06,3.69358194e-08,0.000120255458,1.39748053e-07,-5.97755152e-10,3.14025295e-11,6.51647949e-15
57810000000,1.58587237e-13,3.24147772e-06,3.78184163e-08,0.00012357883,1.39748553e-07,-6.31704784e-10,3.28689111e-11,6.8475487e-15
57815000000,1.68146441e-13,3.40586064e-06,3.87080005e-08,0.000126902203,1.39749053e-07,-6.6567246e-10,3.44878259e-11,7.18948695e-15
57820000000,1.71130865e-13,3.40690337e-06,3.94520707e-08,0.000120106038,1.39745072e-07,-6.66385983e-10,3.61869196e-11,7.54309768e-15
57825000000,1.81476487e-13,3.57145918e-06,4.03556161e-08,0.000123429411,1.39745572e-07,-7.01206806e-10,3.79854415e-11,7.93772758e-15
57830000000,1.92076938e-13,3.74218647e-06,4.12661488e-08,0.000126752784,1.39746072e-07,-7.36678452e-10,3.98785859e-11,8.33941078e-15
57835000000,2.03319867e-13,3.9192514e-06,4.21836688e-08,0.000130076156,1.39746572e-07,-7.73826575e-10,4.18500818e-11,8.76417722e-15
57840000000,2.07401667e-13,3.90733179e-06,4.29556183e-08,0.000122838726,1.39742591e-07,-7.7404989e-10,4.38063434e-11,9.21692334e-15
57845000000,2.19433643e-13,4.08364648e-06,4.38870984e-08,0.000126162098,1.39743091e-07,-8.12821257e-10,4.57504726e-11,9.66741544e-15
57850000000,2.31292579e-13,4.26626927e-06,4.48255656e-08,0.000129485471,1.39743591e-07,-8.51645646e-10,4.7700335e-11,1.00929852e-14
57855000000,2.43481955e-13,4.45536634e-06,4.57710199e-08,0.000132808844,1.39744091e-07,-8.91583829e-10,4.96924016e-11,1.05222679e-14
57860000000,2.47278466e-13,4.42950541e-06,4.65708438e-08,0.000125183722,1.39740111e-07,-8.88532143e-10,5.17474073e-11,1.09926794e-14
57865000000,2.60286187e-13,4.61694122e-06,4.7530257e-08,0.000128507095,1.39740611e-07,-9.28992744e-10,5.39181096e-11,1.14759977e-14
57870000000,2.73727344e-13,4.81080239e-06,4.84966573e-08,0.000131830468,1.39741111e-07,-9.7039783e-10,5.61971891e-11,1.1973536e-14
57875000000,2.87968707e-13,5.01125508e-06,4.94700446e-08,0.000135153841,1.39741611e-07,-1.01369076e-09,5.85714288e-11,1.2501015e-14
57880000000,2.91219399e-13,4.97077276e-06,5.02977379e-08,0.000127190324,1.3973763e-07,-1.00620829e-09,6.07943036e-11,1.29858275e-14
57885000000,3.04064724e-13,5.16867749e-06,5.1285083e-08,0.000130513696,1.3973813e-07,-1.04661962e-09,6.29840432e-11,1.34269126e-14
57890000000,3.15918111e-13,5.3731079e-06,5.22794149e-08,0.000133837069,1.3973863e-07,-1.08523569e-09,6.51694691e-11,1.38114114e-14
57895000000,3.27192126e-13,5.58423017e-06,5.32807338e-08,0.000137160442,1.3973913e-07,-1.12190765e-09,6.75320438e-11,1.41674822e-14
57900000000,3.25853833e-13,5.52871664e-06,5.41362915e-08,0.000128903192,1.3973515e-07,-1.10134823e-09,6.97222706e-11,1.44531235e-14
57905000000,3.3436856e-13,5.73643746e-06,5.5151567e-08,0.000132226565,1.3973565e-07,-1.13130392e-09,7.19390479e-11,1.46885821e-14
57910000000,3.43376455e-13,5.95076962e-06,5.61738292e-08,0.000135549938,1.3973615e-07,-1.16162231e-09,7.43400987e-11,1.49361111e-14
57915000000,3.5397776e-13,6.17187927e-06,5.72030783e-08,0.00013887331,1.3973665e-07,-1.19570984e-09,7.68393022e-11,1.52526844e-14
57920000000,3.53967241e-13,6.10116153e-06,5.80864955e-08,0.000130362294,1.3973267e-07,-1.17320481e-09,7.94347885e-11,1.55722576e-14
57925000000,3.6296115e-13,6.31805566e-06,5.91297e-08,0.000133685667,1.3973317e-07,-1.20183139e-09,8.19655434e-11,1.58089906e-14
57930000000,3.71478073e-13,6.54163407e-06,6.01798912e-08,0.00013700904,1.3973367e-07,-1.22996782e-09,8.4425854e-11,1.60223807e-14
57935000000,3.81356524e-13,6.77206293e-06,6.1237069e-08,0.000140332413,1.3973417e-07,-1.26189129e-09,8.69173612e-11,1.62972739e-14
57940000000,3.80914381e-13,6.68616967e-06,6.21483408e-08,0.000131603031,1.3973019e-07,-1.23800028e-09,8.92145378e-11,1.65742968e-14
57945000000,3.89436059e-13,6.91161225e-06,6.32194729e-08,0.000134926403,1.3973069e-07,-1.26663584e-09,9.1527618e-11,1.67983052e-14
57950000000,3.9717806e-13,7.14380115e-06,6.42975915e-08,0.000138249776,1.3973119e-07,-1.29236665e-09,9.39570221e-11,1.69732581e-14
57955000000,4.04697109e-13,7.38290255e-06,6.53826967e-08,0.000141573149,1.3973169e-07,-1.31769569e-09,9.63806931e-11,1.71359851e-14
57960000000,4.03116577e-13,7.2820297e-06,6.63218181e-08,0.000132656496,1.3972771e-07,-1.28803602e-09,9.8691201e-11,1.73236928e-14
57965000000,4.11413125e-13,7.51541948e-06,6.74208765e-08,0.000135979868,1.3972821e-07,-1.31369645e-09,1.01205972e-10,1.75203235e-14
57970000000,4.19694374e-13,7.75560825e-06,6.85269212e-08,0.000139303241,1.3972871e-07,-1.33720461e-09,1.03964811e-10,1.7683078e-14
57975000000,4.28428006e-13,8.00276219e-06,6.96399524e-08,0.000142626614,1.3972921e-07,-1.3607708e-09,1.06873584e-10,1.78474901e-14
57980000000,4.28660659e-13,7.88724064e-06,7.06069184e-08,0.000133549814,1.39725231e-07,-1.3270962e-09,1.09901074e-10,1.79859538e-14
57985000000,4.37361927e-13,8.12800379e-06,7.17339016e-08,0.000136873186,1.39725731e-07,-1.34722812e-09,1.12976189e-10,1.81143182e-14
57990000000,4.46561326e-13,8.37561059e-06,7.28678711e-08,0.000140196559,1.39726231e-07,-1.36830763e-09,1.16114513e-10,1.82610569e-14
57995000000,4.55305486e-13,8.63022722e-06,7.40088269e-08,0.000143519932,1.39726731e-07,-1.387583e-09,1.19264992e-10,1.83679557e-14
58000000000,4.55653566e-13,8.50049353e-06,7.50036324e-08,0.00013430651,1.39722752e-07,-1.35127806e-09,1.22246194e-10,1.8432417e-14
