t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
49970000000,0,0,0,1e-06,1.21773979e-07,0,0,0
49975000000,1.10399766e-22,3.9090886e-11,6.36269038e-10,3.25454176e-06,1.21774479e-07,6.56934143e-17,0,0
49980000000,1.99887475e-21,2.4090886e-10,1.27862679e-09,5.50908352e-06,1.21774979e-07,-6.27838833e-16,-3.41632896e-16,-1.79946998e-21
49985000000,7.25319502e-22,7.18181009e-10,1.92707327e-09,7.76362527e-06,1.21775479e-07,3.46604576e-16,3.02267815e-16,-4.80859097e-21
49990000000,2.14152288e-19,1.58363442e-09,2.58160852e-09,1.0018167e-05,1.21775979e-07,1.69293102e-14,2.90442617e-15,-8.37960886e-20
49995000000,1.42579139e-18,2.94999618e-09,3.24223256e-09,1.22727088e-05,1.21776479e-07,6.16256726e-14,-1.55924341e-15,1.22608794e-19
50000000000,3.71981356e-18,4.92999339e-09,3.9089454e-09,1.45272505e-05,1.21776979e-07,1.30458493e-13,-8.35519977e-15,4.11917788e-19
50005000000,7.54503656e-18,7.63635311e-09,4.58174708e-09,1.67817923e-05,1.21777479e-07,2.33074557e-13,-1.61613404e-14,7.58748989e-19
50010000000,1.45430375e-17,1.11818025e-08,5.26063763e-09,1.90363341e-05,1.21777979e-07,3.93582544e-13,-2.24342703e-14,1.10176611e-18
50015000000,2.36721048e-17,1.56790685e-08,5.94561706e-09,2.12908758e-05,1.21778479e-07,5.97927761e-13,-2.32961143e-14,1.14586328e-18
50020000000,3.18991826e-17,2.12408783e-08,6.6366854e-09,2.35454176e-05,1.21778979e-07,8.11642129e-13,-2.74089594e-14,1.29767511e-18
50025000000,3.42273804e-17,2.7979959e-08,7.33384268e-09,2.57999593e-05,1.21779479e-07,9.674805e-13,-3.33606715e-14,1.35655285e-18
50030000000,3.45144527e-17,3.60090377e-08,8.03708892e-09,2.80545011e-05,1.21779979e-07,1.10101194e-12,-2.94428888e-14,1.3576528e-18
50035000000,3.94699106e-17,4.54408414e-08,8.74642414e-09,3.03090428e-05,1.21780479e-07,1.32182575e-12,-3.59027972e-14,1.47838139e-18
50040000000,4.70391704e-17,5.63880973e-08,9.46184838e-09,3.25635846e-05,1.21780979e-07,1.604622e-12,-6.28734352e-14,2.12855669e-18
50045000000,5.88886034e-17,6.89635324e-08,1.01833617e-08,3.48181264e-05,1.21781479e-07,1.98492641e-12,-8.97353816e-14,3.00783667e-18
50050000000,7.65647129e-17,8.32798738e-08,1.0910964e-08,3.70726681e-05,1.21781979e-07,2.49242239e-12,-1.05534532e-13,3.6673903e-18
50055000000,1.08298868e-16,9.94498486e-08,1.16446554e-08,3.93272099e-05,1.21782479e-07,3.24108203e-12,-1.33321773e-13,5.35163299e-18
50060000000,1.56717379e-16,1.17586184e-07,1.23844359e-08,4.15817516e-05,1.21782979e-07,4.23062217e-12,-1.74392742e-13,8.35815316e-18
50065000000,2.02766518e-16,1.37801607e-07,1.31303056e-08,4.38362934e-05,1.21783479e-07,5.20304041e-12,-2.11480215e-13,1.04895037e-17
50070000000,2.61337116e-16,1.60208844e-07,1.38822644e-08,4.60908352e-05,1.21783979e-07,6.34515093e-12,-2.86062978e-13,1.50543825e-17
50075000000,3.44661442e-16,1.84920624e-07,1.46403125e-08,4.83453769e-05,1.21784479e-07,7.77745461e-12,-4.0448741e-13,2.36565462e-17
50080000000,4.56462852e-16,2.12049672e-07,1.54044497e-08,5.05999187e-05,1.21784979e-07,9.51931013e-12,-5.43305573e-13,3.50346099e-17
50085000000,5.96388519e-16,2.41708716e-07,1.61746762e-08,5.28544604e-05,1.21785479e-07,1.15433683e-11,-6.99084441e-13,4.85425592e-17
50090000000,7.53603922e-16,2.74010483e-07,1.69509919e-08,5.51090022e-05,1.21785979e-07,1.37566792e-11,-8.48772516e-13,6.11644189e-17
50095000000,9.08396721e-16,3.090677e-07,1.77333969e-08,5.73635439e-05,1.21786479e-07,1.59400308e-11,-1.04202348e-12,7.47353602e-17
50100000000,1.04274833e-15,3.46993094e-07,1.85218912e-08,5.96180857e-05,1.21786979e-07,1.79759931e-11,-1.24268346e-12,8.53513436e-17
