t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
49970000000,7.00285268e-23,1.62006876e-11,3.70411737e-10,1.05098561e-06,1.10768214e-07,3.36824923e-17,0,0
49975000000,3.10896055e-22,8.39901706e-11,9.53610805e-10,1.13107444e-06,1.10768229e-07,5.03028787e-18,-3.40100547e-16,-5.12773708e-22
49980000000,5.32399118e-21,2.08333375e-10,1.54234828e-09,1.21116326e-06,1.10768244e-07,-6.408114e-16,-1.72929139e-15,-1.22449915e-20
49985000000,6.34956354e-21,3.93234743e-10,2.13662418e-09,1.29125209e-06,1.10768259e-07,-7.29407425e-16,-2.37444479e-15,-1.1380566e-20
49990000000,1.7522851e-20,6.42253314e-10,2.55211826e-09,1.34525804e-06,1.10767411e-07,2.89826781e-15,-1.16174797e-15,-4.53832007e-20
49995000000,1.53399233e-19,9.58700547e-10,3.15747075e-09,1.42534686e-06,1.10767426e-07,1.11291794e-14,-5.93213676e-15,1.59239389e-19
50000000000,4.22854335e-19,1.34641512e-09,3.76836161e-09,1.50543569e-06,1.10767441e-07,2.16496806e-14,-1.29921599e-14,4.36614169e-19
50005000000,8.57939342e-19,1.80940148e-09,4.38479084e-09,1.58552451e-06,1.10767456e-07,3.56011487e-14,-2.10445137e-14,7.67996078e-19
50010000000,1.56807761e-18,2.35051626e-09,4.82243705e-09,1.63930041e-06,1.10766608e-07,5.58049762e-14,-2.72434121e-14,1.08617631e-18
50015000000,2.39000867e-18,2.97431821e-09,5.44994262e-09,1.71938923e-06,1.10766623e-07,7.91461149e-14,-2.92608133e-14,1.18237542e-18
50020000000,3.11870181e-18,3.68408962e-09,6.08298653e-09,1.79947806e-06,1.10766638e-07,1.01037328e-13,-3.44196487e-14,1.35565674e-18
50025000000,3.33201237e-18,4.48383493e-09,6.72156877e-09,1.87956688e-06,1.10766653e-07,1.14311738e-13,-4.14276292e-14,1.40267412e-18
50030000000,3.24551312e-18,5.37493005e-09,7.18136608e-09,1.93306603e-06,1.10765806e-07,1.24398272e-13,-3.79988508e-14,1.41415054e-18
50035000000,3.62108649e-18,6.36465872e-09,7.83102441e-09,2.01315486e-06,1.10765821e-07,1.43101728e-13,-4.16208324e-14,1.47233305e-18
50040000000,4.41714889e-18,7.45504514e-09,8.48622103e-09,2.09324368e-06,1.10765836e-07,1.6667004e-13,-6.34152578e-14,1.9288589e-18
50045000000,5.58512815e-18,8.65009374e-09,9.14695594e-09,2.1733325e-06,1.10765851e-07,1.97855866e-13,-8.49471445e-14,2.56494391e-18
50050000000,6.95330121e-18,9.94858015e-09,9.62890333e-09,2.22650839e-06,1.10765003e-07,2.3839692e-13,-9.4486377e-14,2.93217199e-18
50055000000,9.40123006e-18,1.13626594e-08,1.03007141e-08,2.30659721e-06,1.10765018e-07,2.97390913e-13,-1.11665909e-13,3.91409646e-18
50060000000,1.31498711e-17,1.28920686e-08,1.09780631e-08,2.38668604e-06,1.10765033e-07,3.73083068e-13,-1.40114274e-13,5.90062032e-18
50065000000,1.65843459e-17,1.4540812e-08,1.16609503e-08,2.46677486e-06,1.10765048e-07,4.4350242e-13,-1.64559264e-13,7.22409625e-18
50070000000,2.19934888e-17,1.630355e-08,1.21650468e-08,2.51958117e-06,1.10764201e-07,5.23695892e-13,-2.26929391e-13,1.08512413e-17
50075000000,3.07444311e-17,1.82002326e-08,1.28590096e-08,2.59967e-06,1.10764216e-07,6.22741094e-13,-3.20956186e-13,1.7377427e-17
50080000000,4.31303701e-17,2.02268987e-08,1.35585107e-08,2.67975882e-06,1.10764231e-07,7.40687489e-13,-4.32569177e-13,2.61650541e-17
50085000000,5.94049426e-17,2.23875528e-08,1.42635499e-08,2.75984765e-06,1.10764246e-07,8.74562209e-13,-5.58794321e-13,3.67027171e-17
50090000000,7.73265551e-17,2.46707756e-08,1.47897944e-08,2.8122383e-06,1.10763398e-07,1.01645126e-12,-6.77458019e-13,4.63240368e-17
50095000000,9.91710162e-17,2.71081202e-08,1.5505909e-08,2.89232713e-06,1.10763413e-07,1.15224286e-12,-8.25215146e-13,5.62266522e-17
50100000000,1.22219432e-16,2.96900812e-08,1.62275618e-08,2.97241595e-06,1.10763428e-07,1.27421038e-12,-9.78755543e-13,6.38643803e-17
50105000000,1.55672667e-16,3.24206629e-08,1.69547527e-08,3.05250478e-06,1.10763443e-07,1.40554975e-12,-1.18805412e-12,7.45487829e-17
