t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
98910000000,1.10136176e-23,4.57559826e-11,2.01468907e-08,4.32276885e-06,5.87562841e-06,-2.24485834e-17,0,0
98915000000,3.50187631e-20,3.07650407e-10,4.05875628e-08,7.64614157e-06,5.87562891e-06,-1.77789151e-15,2.2339401e-14,1.96995051e-19
98920000000,2.23230592e-19,9.51851911e-10,6.13220163e-08,1.09695143e-05,5.87562941e-06,-8.29736319e-15,7.51036815e-14,8.3343201e-19
98925000000,3.37706963e-19,2.14452913e-09,8.23502513e-08,1.4292887e-05,5.87562991e-06,-2.1905644e-14,-5.75150969e-14,-8.51772084e-19
98930000000,1.56984321e-18,4.02168786e-09,1.03668074e-07,1.74938783e-05,5.86892074e-06,-4.47399014e-14,-2.88486249e-13,-3.88606737e-18
98935000000,6.40752626e-18,6.78754994e-09,1.25282027e-07,2.0817251e-05,5.86892124e-06,-9.35366988e-14,-7.12811886e-13,-1.32124112e-17
98940000000,1.9561684e-17,1.05942746e-08,1.47189426e-07,2.41406237e-05,5.86892174e-06,-1.62446347e-13,-1.42525204e-12,-2.79696094e-17
98945000000,5.6413056e-17,1.56080304e-08,1.69390271e-07,2.74639964e-05,5.86892224e-06,-2.25207421e-13,-2.72922841e-12,-4.06810242e-17
98950000000,1.23701513e-16,2.16993321e-08,1.91871006e-07,3.03390473e-05,5.86222837e-06,-3.58978279e-13,-4.31726591e-12,-8.39238461e-17
98955000000,2.32892676e-16,2.94993186e-08,2.14655563e-07,3.366242e-05,5.86222887e-06,-5.478989e-13,-6.26852232e-12,-1.41947311e-16
98960000000,3.92728996e-16,3.89824261e-08,2.37733232e-07,3.69857928e-05,5.86222937e-06,-6.81564529e-13,-8.61664073e-12,-1.64784677e-16
98965000000,6.20656513e-16,5.03148232e-08,2.61104012e-07,4.03091655e-05,5.86222987e-06,-8.31053118e-13,-1.13907152e-11,-1.90902066e-16
98970000000,9.44043382e-16,6.2450565e-08,2.84739685e-07,4.2674094e-05,5.85555125e-06,-1.07161299e-12,-1.46908914e-11,-2.63811822e-16
98975000000,1.45137444e-15,7.76152427e-08,3.0869218e-07,4.59974667e-05,5.85555175e-06,-1.41919148e-12,-1.90503014e-11,-3.83745795e-16
98980000000,2.09791751e-15,9.50797937e-08,3.32937452e-07,4.93208394e-05,5.85555225e-06,-1.80467972e-12,-2.38196211e-11,-5.02156809e-16
98985000000,2.86430179e-15,1.15010387e-07,3.57475502e-07,5.26442121e-05,5.85555275e-06,-2.26199701e-12,-2.88086405e-11,-6.3074381e-16
98990000000,3.84271538e-15,1.34239818e-07,3.82258183e-07,5.43446094e-05,5.84888932e-06,-2.72284684e-12,-3.45126543e-11,-7.80317299e-16
98995000000,5.09137551e-15,1.58824901e-07,4.07375957e-07,5.76679821e-05,5.84888982e-06,-3.00729073e-12,-4.11048355e-11,-8.05317435e-16
99000000000,6.80281831e-15,1.86293383e-07,4.32786176e-07,6.09913548e-05,5.84889032e-06,-3.08301231e-12,-4.91945739e-11,-7.17228585e-16
99005000000,8.93031582e-15,2.16811432e-07,4.58488839e-07,6.43147276e-05,5.84889082e-06,-3.18519484e-12,-5.81847243e-11,-6.52395173e-16
99010000000,1.13520772e-14,2.43288909e-07,4.84410644e-07,6.52322227e-05,5.84224255e-06,-2.98192531e-12,-6.75030672e-11,-4.81927539e-16
99015000000,1.44625137e-14,2.79023174e-07,5.10691049e-07,6.85555955e-05,5.84224305e-06,-2.75038713e-12,-7.8382917e-11,-2.55502295e-16
99020000000,1.82143462e-14,3.18185219e-07,5.37263567e-07,7.18789682e-05,5.84224355e-06,-2.75921826e-12,-9.03469588e-11,-1.82329166e-16
99025000000,2.26193794e-14,3.60941211e-07,5.64128196e-07,7.52023409e-05,5.84224405e-06,-3.14561457e-12,-1.03245129e-10,-3.24971706e-16
99030000000,2.74509155e-14,3.93931608e-07,5.91181286e-07,7.52570231e-05,5.83561086e-06,-3.70422658e-12,-1.16386774e-10,-5.92739545e-16
99035000000,3.29063904e-14,4.42189636e-07,6.18621682e-07,7.85803958e-05,5.83561136e-06,-4.46721111e-12,-1.30280215e-10,-9.00420907e-16
99040000000,3.96856617e-14,4.94376685e-07,6.46353858e-07,8.19037686e-05,5.83561186e-06,-5.28356417e-12,-1.46356783e-10,-1.23744277e-15
99045000000,4.80812628e-14,5.50658921e-07,6.74377815e-07,8.52271413e-05,5.83561236e-06,-6.68369252e-12,-1.64800682e-10,-1.92357543e-15
99050000000,5.74993788e-14,5.88644925e-07,7.02554396e-07,8.43764622e-05,5.82899422e-06,-8.27918481e-12,-1.84082476e-10,-2.85437071e-15
99055000000,6.81872702e-14,6.50443199e-07,7.31152152e-07,8.76998349e-05,5.82899472e-06,-9.53829964e-12,-2.04640322e-10,-3.3703118e-15
99060000000,7.98440941e-14,7.16626465e-07,7.60041357e-07,9.10232076e-05,5.82899522e-06,-1.05604966e-11,-2.25817201e-10,-3.69828813e-15
99065000000,9.30209516e-14,7.87360891e-07,7.89222012e-07,9.43465803e-05,5.82899572e-06,-1.21960667e-11,-2.48413908e-10,-4.36432651e-15
99070000000,1.05959989e-13,8.28220648e-07,8.18514333e-07,9.25815165e-05,5.82239258e-06,-1.33841433e-11,-2.69693511e-10,-4.9944548e-15
99075000000,1.19197006e-13,9.04233226e-07,8.48266827e-07,9.59048893e-05,5.82239308e-06,-1.48068144e-11,-2.90742285e-10,-5.41456178e-15
99080000000,1.32919439e-13,9.85041048e-07,8.7831044e-07,9.9228262e-05,5.82239358e-06,-1.65082489e-11,-3.1187638e-10,-5.92162661e-15
99085000000,1.48965636e-13,1.07081028e-06,9.08645173e-07,0.000102551635,5.82239408e-06,-1.84943634e-11,-3.35584695e-10,-6.57269593e-15
99090000000,1.64660148e-13,1.11202912e-06,9.39045528e-07,9.9891099e-05,5.81580587e-06,-1.92424919e-11,-3.58191999e-10,-6.98606578e-15
99095000000,1.8087639e-13,1.20261786e-06,9.69950146e-07,0.000103214472,5.81580637e-06,-2.02396689e-11,-3.81014856e-10,-7.10900903e-15
99100000000,1.97409481e-13,1.29836732e-06,1.00114556e-06,0.000106537844,5.81580687e-06,-2.20425326e-11,-4.03753869e-10,-7.55999687e-15
99105000000,2.15933872e-13,1.39944367e-06,1.03263175e-06,0.000109861217,5.81580737e-06,-2.50957539e-11,-4.28422927e-10,-8.54306909e-15
99110000000,2.35604196e-13,1.43832703e-06,1.06413248e-06,0.000106345693,5.80923405e-06,-2.78789491e-11,-4.53879326e-10,-9.95243674e-15
99115000000,2.59180224e-13,1.54358104e-06,1.09618662e-06,0.000109669065,5.80923455e-06,-3.26477169e-11,-4.83234484e-10,-1.18410033e-14
99120000000,2.84523793e-13,1.6543185e-06,1.12853122e-06,0.000112992438,5.80923505e-06,-3.80435552e-11,-5.13802081e-10,-1.39363696e-14
99125000000,3.14231124e-13,1.77070558e-06,1.16116628e-06,0.000116315811,5.80923555e-06,-4.57853817e-11,-5.48116489e-10,-1.73258192e-14
99130000000,3.47413962e-13,1.80456854e-06,1.19375976e-06,0.000112001014,5.80267708e-06,-5.21943472e-11,-5.84951186e-10,-2.15646636e-14
99135000000,3.83284708e-13,1.92434807e-06,1.22696082e-06,0.000115324387,5.80267758e-06,-6.17597888e-11,-6.23350251e-10,-2.60328532e-14
99140000000,4.25547544e-13,2.04989382e-06,1.26045202e-06,0.000118647759,5.80267808e-06,-7.17574131e-11,-6.66693752e-10,-3.0937648e-14
99145000000,4.75335757e-13,2.18137196e-06,1.29423336e-06,0.000121971132,5.80267858e-06,-8.20635749e-11,-7.15481204e-10,-3.62235241e-14
99150000000,5.22553829e-13,2.20769093e-06,1.32791201e-06,0.000116922268,5.79613489e-06,-8.72620725e-11,-7.60576357e-10,-4.08155328e-14
99155000000,5.77961149e-13,2.34167174e-06,1.36225741e-06,0.000120245641,5.79613539e-06,-9.8099806e-11,-8.1120175e-10,-4.6276488e-14
99160000000,6.446243e-13,2.48166484e-06,1.39689262e-06,0.000123569013,5.79613589e-06,-1.11994189e-10,-8.69119054e-10,-5.43422927e-14
99165000000,7.20961865e-13,2.62783638e-06,1.43181764e-06,0.000126892386,5.79613639e-06,-1.26717802e-10,-9.32446918e-10,-6.31406749e-14
99170000000,7.98293529e-13,2.64435743e-06,1.46657393e-06,0.000121179318,5.78960744e-06,-1.32950508e-10,-9.94594125e-10,-7.1004592e-14
99175000000,8.89340422e-13,2.79207284e-06,1.5020611e-06,0.000124502691,5.78960794e-06,-1.47299692e-10,-1.06428954e-09,-7.98517057e-14
99180000000,9.9126121e-13,2.94601339e-06,1.53783774e-06,0.000127826064,5.78960844e-06,-1.61388996e-10,-1.13904455e-09,-8.84136888e-14
99185000000,1.10095368e-12,3.10634524e-06,1.57390387e-06,0.000131149436,5.78960894e-06,-1.74359483e-10,-1.21644878e-09,-9.5651329e-14
99190000000,1.21326357e-12,3.11115061e-06,1.60973032e-06,0.000124842886,5.78309469e-06,-1.74997133e-10,-1.29342926e-09,-1.01197745e-13
99195000000,1.34192206e-12,3.27202941e-06,1.64635667e-06,0.000128166259,5.78309519e-06,-1.85775713e-10,-1.37774795e-09,-1.06869628e-13
99200000000,1.48018147e-12,3.43931651e-06,1.68327218e-06,0.000131489632,5.78309569e-06,-1.97413111e-10,-1.46498409e-09,-1.13143147e-13
99205000000,1.63176278e-12,3.6131781e-06,1.72047685e-06,0.000134813005,5.78309619e-06,-2.09477895e-10,-1.55701877e-09,-1.19719107e-13
99210000000,1.78078327e-12,3.60471666e-06,1.757366e-06,0.000127981758,5.77659657e-06,-2.07551053e-10,-1.64536845e-09,-1.24495671e-13
99215000000,1.94310466e-12,3.77811592e-06,1.79512899e-06,0.000131305131,5.77659707e-06,-2.16028965e-10,-1.73837085e-09,-1.2775946e-13
99220000000,2.11515922e-12,3.95808043e-06,1.8331808e-06,0.000134628504,5.77659757e-06,-2.26646518e-10,-1.83384343e-09,-1.32933306e-13
99225000000,2.29863164e-12,4.14477636e-06,1.87152145e-06,0.000137951876,5.77659807e-06,-2.39530151e-10,-1.93248247e-09,-1.40076064e-13
99230000000,2.47795925e-12,4.12186558e-06,1.9094659e-06,0.000130660878,5.77011304e-06,-2.37048033e-10,-2.02715142e-09,-1.45437782e-13
99235000000,2.66153903e-12,4.30709817e-06,1.94836296e-06,0.00013398425,5.77011354e-06,-2.44674562e-10,-2.12211667e-09,-1.47668102e-13
99240000000,2.85961795e-12,4.49902997e-06,1.98754854e-06,0.000137307623,5.77011404e-06,-2.50356652e-10,-2.22200058e-09,-1.48094205e-13
99245000000,3.06824381e-12,4.69782715e-06,2.02702262e-06,0.000140630996,5.77011454e-06,-2.56222424e-10,-2.32468224e-09,-1.48698544e-13
99250000000,3.27756228e-12,4.65963469e-06,2.066015e-06,0.000132940175,5.76364406e-06,-2.47732864e-10,-2.42580459e-09,-1.48877839e-13
99255000000,3.50430006e-12,4.85599159e-06,2.1060436e-06,0.000136263548,5.76364456e-06,-2.51534551e-10,-2.53271637e-09,-1.47972244e-13
99260000000,3.74856559e-12,5.05916166e-06,2.14636038e-06,0.00013958692,5.76364506e-06,-2.55991698e-10,-2.64496424e-09,-1.47723511e-13
99265000000,4.01230977e-12,5.26931109e-06,2.18696535e-06,0.000142910293,5.76364556e-06,-2.60962878e-10,-2.76302023e-09,-1.47992507e-13
99270000000,4.26473654e-12,5.21532316e-06,2.22699834e-06,0.000134873971,5.75718957e-06,-2.518202e-10,-2.87448569e-09,-1.47385338e-13
