t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
9545000000,2.47973039e-23,1.00923522e-12,1.81301328e-11,1.03822239e-06,1.54964726e-07,5.00263056e-18,0,0
9550000000,5.79730203e-21,4.31927641e-11,4.72933251e-10,2.00446128e-06,1.55014726e-07,4.99755426e-16,-1.11039028e-17,1.40561312e-22
9555000000,9.59140816e-20,1.85599357e-10,9.35485855e-10,2.97070017e-06,1.55064726e-07,4.03608512e-15,-1.82469427e-15,5.5476619e-20
9560000000,3.56071749e-19,4.76540958e-10,1.40579045e-09,3.93693906e-06,1.55114726e-07,1.17622361e-14,-7.55178206e-15,2.19691453e-19
9565000000,7.4005669e-19,9.62336771e-10,1.7400465e-09,4.5851308e-06,1.55161011e-07,2.10778487e-14,-1.9558924e-14,4.01957485e-19
9570000000,1.47332257e-18,1.68075882e-09,2.22586209e-09,5.5513697e-06,1.55211011e-07,3.34195713e-14,-3.64228142e-14,6.38090692e-19
9575000000,2.6762365e-18,2.67674936e-09,2.71943698e-09,6.51760859e-06,1.55261011e-07,4.83029767e-14,-5.99833824e-14,9.13539289e-19
9580000000,4.41616096e-18,3.99862033e-09,3.22077368e-09,7.48384748e-06,1.55311011e-07,6.03365579e-14,-9.12430073e-14,1.00500008e-18
9585000000,6.90889403e-18,5.67891577e-09,3.58606704e-09,8.11293286e-06,1.55357286e-07,8.14109955e-14,-1.26187495e-13,1.4063245e-18
9590000000,1.04649312e-17,7.77710257e-09,4.10293362e-09,9.07917175e-06,1.55407286e-07,1.20740228e-13,-1.63198168e-13,2.24734881e-18
9595000000,1.60179449e-17,1.0329248e-08,4.6275693e-09,1.00454106e-05,1.55457286e-07,1.76714988e-13,-2.13274067e-13,3.60544854e-18
9600000000,2.49814758e-17,1.33836639e-08,5.15997661e-09,1.10116495e-05,1.55507286e-07,2.83721704e-13,-2.72091103e-13,6.48468585e-18
9605000000,4.04943719e-17,1.69237587e-08,5.5563428e-09,1.16111755e-05,1.55553552e-07,4.65396925e-13,-3.45945015e-13,1.1941234e-17
9610000000,6.32740483e-17,2.10938208e-08,6.10429887e-09,1.25774144e-05,1.55603552e-07,7.11404758e-13,-4.27888029e-13,1.86752199e-17
9615000000,8.92022275e-17,2.58927537e-08,6.66003386e-09,1.35436533e-05,1.55653552e-07,9.68337963e-13,-5.17302056e-13,2.46326397e-17
9620000000,1.2098554e-16,3.13688693e-08,7.22355028e-09,1.45098922e-05,1.55703552e-07,1.22308384e-12,-6.38602684e-13,3.08172906e-17
9625000000,1.54372752e-16,3.73863523e-08,7.65102482e-09,1.50697577e-05,1.55749809e-07,1.45980393e-12,-7.70173804e-13,3.56975515e-17
9630000000,1.94786493e-16,4.43039521e-08,8.23010888e-09,1.60359966e-05,1.55799809e-07,1.73861118e-12,-9.10985069e-13,4.12272776e-17
9635000000,2.48531315e-16,5.20233517e-08,8.81698168e-09,1.70022355e-05,1.55849809e-07,2.10280037e-12,-1.07279532e-12,4.96331532e-17
9640000000,3.14343836e-16,6.0592863e-08,9.41164571e-09,1.79684744e-05,1.55899809e-07,2.56651023e-12,-1.24201096e-12,6.03918177e-17
9645000000,3.98727741e-16,6.96422967e-08,9.87026408e-09,1.84790434e-05,1.55946056e-07,3.13244176e-12,-1.43589086e-12,7.51258879e-17
9650000000,4.96024801e-16,7.99619142e-08,1.04805146e-08,1.94452823e-05,1.55996056e-07,3.7476877e-12,-1.64756684e-12,8.98324408e-17
9655000000,6.22582732e-16,9.12537959e-08,1.10985637e-08,2.04115212e-05,1.56046056e-07,4.50082451e-12,-1.89704994e-12,1.09988556e-16
9660000000,7.7859089e-16,1.03566254e-07,1.17244139e-08,2.13777601e-05,1.56096056e-07,5.3743958e-12,-2.18057972e-12,1.34474171e-16
9665000000,9.60632058e-16,1.16125809e-07,1.22142116e-08,2.18299635e-05,1.56142293e-07,6.26860267e-12,-2.50556375e-12,1.61490516e-16
9670000000,1.18569744e-15,1.30476386e-07,1.28556671e-08,2.27962024e-05,1.56192293e-07,7.38081986e-12,-2.85604979e-12,1.94500115e-16
9675000000,1.47158116e-15,1.45966773e-07,1.3504931e-08,2.37624413e-05,1.56242293e-07,8.76343506e-12,-3.24753629e-12,2.38856256e-16
9680000000,1.82477572e-15,1.62645281e-07,1.41620057e-08,2.47286802e-05,1.56292293e-07,1.04667757e-11,-3.66659416e-12,2.94764303e-16
9685000000,2.24961522e-15,1.79105679e-07,1.46830182e-08,2.51141042e-05,1.56338522e-07,1.2279969e-11,-4.15210928e-12,3.62208522e-16
9690000000,2.73428397e-15,1.98086701e-07,1.53557172e-08,2.60803431e-05,1.56388522e-07,1.42299451e-11,-4.68314363e-12,4.29479924e-16
9695000000,3.26724594e-15,2.18371741e-07,1.60362344e-08,2.7046582e-05,1.56438522e-07,1.62439692e-11,-5.25082199e-12,4.96171854e-16
9700000000,3.86988548e-15,2.40009109e-07,1.67245722e-08,2.80128209e-05,1.56488522e-07,1.84933738e-11,-5.84347267e-12,5.69525982e-16
9705000000,4.50514072e-15,2.60665109e-07,1.72768349e-08,2.83237802e-05,1.5653474e-07,2.06302435e-11,-6.46713549e-12,6.42617179e-16
9710000000,5.19958398e-15,2.84843188e-07,1.79808158e-08,2.92900191e-05,1.5658474e-07,2.30160976e-11,-7.10919614e-12,7.13361946e-16
9715000000,5.98085926e-15,3.10485767e-07,1.86926248e-08,3.0256258e-05,1.5663474e-07,2.55604168e-11,-7.80872847e-12,7.90284292e-16
9720000000,6.85584951e-15,3.3764116e-07,1.94122642e-08,3.12224968e-05,1.5668474e-07,2.84093318e-11,-8.53798146e-12,8.77113143e-16
9725000000,7.84391642e-15,3.62685749e-07,1.99958125e-08,3.14520913e-05,1.5673095e-07,3.13606055e-11,-9.32313732e-12,9.83213175e-16
9730000000,8.96573929e-15,3.92591724e-07,2.07311139e-08,3.24183302e-05,1.5678095e-07,3.48499939e-11,-1.01465585e-11,1.09578914e-15
9735000000,1.01809102e-14,4.24118616e-07,2.14742531e-08,3.33845691e-05,1.5683095e-07,3.83964367e-11,-1.1033276e-11,1.20866666e-15
9740000000,1.14175145e-14,4.57314737e-07,2.22252325e-08,3.4350808e-05,1.5688095e-07,4.17555229e-11,-1.19566943e-11,1.30623941e-15
9745000000,1.26918108e-14,4.86836043e-07,2.28401019e-08,3.44929635e-05,1.56927149e-07,4.41840955e-11,-1.30135473e-11,1.38536284e-15
9750000000,1.41413587e-14,5.22962645e-07,2.36067622e-08,3.54592024e-05,1.56977149e-07,4.71393307e-11,-1.41348931e-11,1.46526543e-15
9755000000,1.57415795e-14,5.60862208e-07,2.43812701e-08,3.64254413e-05,1.57027149e-07,5.05142784e-11,-1.52854307e-11,1.56340283e-15
