t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
60790000000,3.09788521e-23,1.04279885e-12,2.67444986e-11,1.17237228e-06,2.54695529e-07,5.68372338e-18,0,0
60795000000,1.56142105e-20,6.82064698e-11,6.97903921e-10,5.49148652e-06,2.54696029e-07,1.03004759e-15,-1.6961748e-17,2.73319139e-22
60800000000,2.14647785e-19,4.09944467e-10,1.38179813e-09,9.81060076e-06,2.54696529e-07,9.32474315e-15,-8.31111178e-16,2.25413713e-20
60805000000,4.28827547e-19,1.2422125e-09,2.07842716e-09,1.4129715e-05,2.54697029e-07,2.29918236e-14,-1.32473549e-15,2.89840717e-20
60810000000,2.75714784e-19,2.76410028e-09,2.57586633e-09,1.69554455e-05,2.54683313e-07,2.21427658e-14,-9.56905839e-15,-7.53768343e-20
60815000000,4.2993243e-19,5.15094441e-09,3.29796172e-09,2.12745597e-05,2.54683813e-07,-9.00202859e-16,-2.49667446e-14,-3.86524768e-19
60820000000,1.00461839e-18,8.60151652e-09,4.03279129e-09,2.55936739e-05,2.54684313e-07,-2.0776668e-14,-4.73253645e-14,-5.66011513e-19
60825000000,1.89970417e-18,1.33317723e-08,4.78035506e-09,2.99127882e-05,2.54684813e-07,3.042549e-15,-8.0128205e-14,-1.83170776e-19
60830000000,4.3391037e-18,1.93641212e-08,5.32871075e-09,3.24360475e-05,2.54671098e-07,6.49599541e-14,-1.32404896e-13,7.40369639e-19
60835000000,8.36350812e-18,2.71435226e-08,6.10173682e-09,3.67551618e-05,2.54671598e-07,9.57554664e-14,-1.97668106e-13,1.00028227e-18
60840000000,1.59183394e-17,3.67606821e-08,6.88749646e-09,4.1074276e-05,2.54672098e-07,1.79595606e-13,-2.88407081e-13,2.13097619e-18
60845000000,2.84027599e-17,4.84315554e-08,7.6859897e-09,4.53933902e-05,2.54672598e-07,4.32885976e-13,-3.8559947e-13,5.47384959e-18
60850000000,5.01096016e-17,6.14881712e-08,8.28524524e-09,4.74371366e-05,2.54658885e-07,7.61244483e-13,-5.23738258e-13,1.0404984e-17
60855000000,8.90652038e-17,7.7552605e-08,9.10919671e-09,5.17562508e-05,2.54659385e-07,1.358195e-12,-6.87148007e-13,1.94727869e-17
60860000000,1.49294664e-16,9.62048513e-08,9.94588114e-09,5.60753651e-05,2.54659885e-07,2.24048458e-12,-8.63491236e-13,3.16370751e-17
60865000000,2.35285431e-16,1.17660866e-07,1.07952986e-08,6.03944793e-05,2.54660385e-07,3.37457218e-12,-1.06389118e-12,4.6408186e-17
60870000000,3.48948832e-16,1.39537515e-07,1.14454373e-08,6.18038826e-05,2.54646673e-07,4.61749356e-12,-1.31755623e-12,6.47753389e-17
60875000000,4.91185013e-16,1.66522148e-07,1.23203089e-08,6.61229969e-05,2.54647173e-07,6.07799012e-12,-1.60209319e-12,8.39844031e-17
60880000000,7.05209363e-16,1.9681293e-07,1.32079128e-08,7.04421111e-05,2.54647673e-07,8.22820224e-12,-1.9094186e-12,1.13255485e-16
60885000000,1.03190129e-15,2.30625817e-07,1.41082491e-08,7.47612254e-05,2.54648173e-07,1.11720477e-11,-2.28739702e-12,1.58550399e-16
60890000000,1.44128901e-15,2.62239661e-07,1.48092545e-08,7.54092147e-05,2.54634463e-07,1.43901536e-11,-2.70953332e-12,2.13102866e-16
60895000000,1.97627036e-15,3.024631e-07,1.57350409e-08,7.9728329e-05,2.54634963e-07,1.85372106e-11,-3.14784429e-12,2.72993979e-16
60900000000,2.60821338e-15,3.46672955e-07,1.6673559e-08,8.40474432e-05,2.54635463e-07,2.31795121e-11,-3.62297544e-12,3.36824649e-16
60905000000,3.33606252e-15,3.95085182e-07,1.76248089e-08,8.83665574e-05,2.54635963e-07,2.83510737e-11,-4.12213818e-12,4.03074981e-16
60910000000,4.09382674e-15,4.36412315e-07,1.83766642e-08,8.81569343e-05,2.54622253e-07,3.32560572e-11,-4.6234648e-12,4.71645987e-16
60915000000,5.00660381e-15,4.91837371e-07,1.93533602e-08,9.24760486e-05,2.54622753e-07,3.95162223e-11,-5.12236759e-12,5.39192784e-16
60920000000,5.93738509e-15,5.5188623e-07,2.03427872e-08,9.67951628e-05,2.54623253e-07,4.58018858e-11,-5.68065071e-12,6.04800434e-16
60925000000,6.88783609e-15,6.16774846e-07,2.13449455e-08,0.000101114277,2.54623753e-07,5.22991352e-11,-6.2515365e-12,6.66264497e-16
60930000000,7.81223391e-15,6.66882004e-07,2.2147634e-08,9.99824127e-05,2.54610046e-07,5.74961312e-11,-6.94466198e-12,7.41261205e-16
