t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
60790000000,3.02896783e-23,1.01960771e-12,2.67444957e-11,1.07960771e-06,2.54692627e-07,5.55730056e-18,0,0
60795000000,1.12068414e-20,5.09058776e-11,6.97903817e-10,3.07960771e-06,2.54693127e-07,7.53982169e-16,-1.69617375e-17,2.73316565e-22
60800000000,1.26566092e-19,2.54772533e-10,1.38179778e-09,5.07960771e-06,2.54693627e-07,5.63342737e-15,-8.31110938e-16,2.25410824e-20
60805000000,2.43621901e-19,7.12619574e-10,2.07842642e-09,7.07960771e-06,2.54694127e-07,1.31089041e-14,-1.32473496e-15,2.89835099e-20
60810000000,1.77520748e-19,1.51945943e-09,2.57586377e-09,8.4122724e-06,2.5467751e-07,1.28420644e-14,-9.5784009e-15,-7.55469148e-20
60815000000,3.38815039e-19,2.75406581e-09,3.2979578e-09,1.04122724e-05,2.5467801e-07,1.33706585e-15,-2.50239947e-14,-3.87668807e-19
60820000000,8.58893995e-19,4.50928581e-09,4.03278571e-09,1.24122724e-05,2.5467851e-07,-8.2126843e-15,-4.74443865e-14,-5.6765714e-19
60825000000,1.82555903e-18,6.88511942e-09,4.78034754e-09,1.44122724e-05,2.5467901e-07,4.23891816e-15,-8.03232049e-14,-1.83940884e-19
60830000000,4.1697285e-18,9.93329926e-09,5.32869611e-09,1.56762262e-05,2.54662395e-07,3.55076887e-14,-1.32774059e-13,7.42646277e-19
60835000000,8.18077967e-18,1.3799443e-08,6.1017184e-09,1.76762262e-05,2.54662895e-07,5.10040917e-14,-1.98556704e-13,1.00460891e-18
60840000000,1.55239767e-17,1.85493981e-08,6.88747382e-09,1.96762262e-05,2.54663395e-07,9.25495827e-14,-2.89894757e-13,2.14278057e-18
60845000000,2.63965918e-17,2.42831645e-08,7.6859624e-09,2.16762262e-05,2.54663895e-07,2.16875837e-13,-3.87767746e-13,5.5091932e-18
60850000000,4.51455203e-17,3.08876406e-08,8.28520206e-09,2.28312608e-05,2.54647281e-07,3.80213636e-13,-5.26981398e-13,1.04790411e-17
60855000000,7.63150303e-17,3.87907648e-08,9.10914617e-09,2.48312608e-05,2.54647781e-07,6.72983134e-13,-6.92756396e-13,1.96796019e-17
60860000000,1.20859058e-16,4.7935452e-08,9.94582265e-09,2.68312608e-05,2.54648281e-07,1.10400875e-12,-8.71718335e-13,3.20266847e-17
60865000000,1.82266012e-16,5.84217022e-08,1.07952315e-08,2.88312608e-05,2.54648781e-07,1.65603443e-12,-1.0749957e-12,4.70120705e-17
60870000000,2.66557994e-16,6.97254894e-08,1.14453422e-08,2.98395945e-05,2.5463217e-07,2.28370733e-12,-1.33250566e-12,6.56543565e-17
60875000000,3.73518523e-16,8.301085e-08,1.23202016e-08,3.18395945e-05,2.5463267e-07,2.99939817e-12,-1.62383263e-12,8.53270541e-17
