t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
9545000000,2.50393033e-23,1.01957283e-12,8.06890008e-10,1.07957283e-06,6.89001792e-06,5.05266201e-18,0,0
9550000000,7.27472531e-21,5.0904622e-11,2.10480405e-08,3.07957283e-06,6.89006792e-06,5.96123158e-16,-4.94165795e-16,6.25140443e-21
9555000000,4.39310771e-19,2.54768313e-10,4.16336932e-08,5.07957283e-06,6.89011792e-06,5.75264181e-15,-8.12077884e-14,2.46734745e-18
9560000000,3.27588728e-18,7.12610645e-10,6.25638505e-08,7.07957283e-06,6.89016792e-06,1.80992289e-14,-3.36087885e-13,9.76745339e-18
9565000000,1.30550452e-17,1.51908714e-09,7.74356346e-08,8.40981495e-06,6.88368614e-06,3.36805462e-14,-8.70192897e-13,1.78515889e-17
9570000000,3.68870966e-17,2.75333071e-09,9.90532742e-08,1.0409815e-05,6.88373614e-06,5.48574556e-14,-1.61948291e-12,2.83034313e-17
9575000000,8.12743368e-17,4.50806502e-09,1.21015099e-07,1.2409815e-05,6.88378614e-06,8.08909883e-14,-2.6664116e-12,4.04755254e-17
9580000000,1.5614274e-16,6.88329008e-09,1.43321112e-07,1.4409815e-05,6.88383614e-06,1.02068649e-13,-4.05555461e-12,4.44341851e-17
9585000000,2.55513687e-16,9.92658193e-09,1.59560357e-07,1.5665315e-05,6.87736636e-06,1.39481447e-13,-5.60684357e-12,6.20273487e-17
9590000000,3.83108932e-16,1.37897855e-08,1.82551918e-07,1.7665315e-05,6.87741636e-06,2.10638075e-13,-7.24588976e-12,9.86978289e-17
9595000000,5.79935271e-16,1.85362549e-08,2.05887349e-07,1.9665315e-05,6.87746636e-06,3.13273487e-13,-9.46498634e-12,1.58010157e-16
9600000000,8.46305285e-16,2.42659899e-08,2.29566652e-07,2.1665315e-05,6.87751636e-06,5.12490259e-13,-1.20716692e-11,2.84486657e-16
9605000000,1.22835373e-15,3.08475046e-08,2.47165616e-07,2.2802506e-05,6.87105853e-06,8.51076721e-13,-1.53410284e-11,5.24332834e-16
9610000000,1.72842835e-15,3.87393327e-08,2.71528539e-07,2.4802506e-05,6.87110853e-06,1.31462574e-12,-1.8956569e-11,8.18618213e-16
9615000000,2.32892731e-15,4.78712861e-08,2.96235015e-07,2.6802506e-05,6.87115853e-06,1.80112674e-12,-2.29010754e-11,1.07809155e-15
9620000000,3.23265079e-15,5.83433649e-08,3.21285049e-07,2.8802506e-05,6.87120853e-06,2.28479515e-12,-2.82603899e-11,1.3464561e-15
9625000000,4.30786496e-15,6.95785624e-08,3.40236027e-07,2.97806822e-05,6.86476264e-06,2.72117834e-12,-3.40612239e-11,1.55637414e-15
9630000000,5.60290231e-15,8.28334817e-08,3.65967758e-07,3.17806822e-05,6.86481264e-06,3.25075115e-12,-4.02442394e-11,1.79484135e-15
9635000000,7.23926206e-15,9.76774351e-08,3.92042728e-07,3.37806822e-05,6.86486264e-06,3.94506016e-12,-4.73540415e-11,2.15890527e-15
9640000000,9.10056709e-15,1.14210423e-07,4.1846094e-07,3.57806822e-05,6.86491264e-06,4.83245618e-12,-5.4785966e-11,2.62560466e-15
9645000000,1.13965921e-14,1.30973804e-07,4.38756264e-07,3.65628723e-05,6.85847863e-06,5.88358934e-12,-6.32840656e-11,3.26459623e-15
9650000000,1.41369925e-14,1.50843207e-07,4.65854257e-07,3.85628723e-05,6.85852863e-06,7.05845814e-12,-7.25217666e-11,3.89818393e-15
9655000000,1.76479571e-14,1.72640754e-07,4.93295175e-07,4.05628723e-05,6.85857863e-06,8.50106167e-12,-8.34274379e-11,4.76912556e-15
9660000000,2.19831591e-14,1.96466444e-07,5.21079022e-07,4.25628723e-05,6.85862863e-06,1.01787333e-11,-9.58334536e-11,5.82847017e-15
9665000000,2.73243793e-14,2.19351311e-07,5.42711057e-07,4.31165312e-05,6.85220649e-06,1.18126924e-11,-1.10022851e-10,6.99257294e-15
9670000000,3.36424208e-14,2.46988551e-07,5.71172774e-07,4.51165312e-05,6.85225649e-06,1.39318942e-11,-1.25245663e-10,8.40360579e-15
