key,value
experiment_id,"exp-ekf-noise-transfer"
estimator,"ekf"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_004/dataset_allsensor_004_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_004/sensor_noise_inflated.yaml"
output_dir,"/home/ambushee/wil_project/output/output_ekf_vslamcfg/simulation/dataset_allsensor_004"
imu_gyro_sigma_z,"0.028284271247474763"
imu_accel_sigma_x,"0.2828427124747476"
imu_gyro_bias_rw,"0.0001"
imu_gyro_bias_rw_source,"VSLAM config (inflated preset), not measured"
wheel_speed_sigma,"0.05047921999243125"
noise_model_bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_004/dataset_allsensor_004_0.db3"
noise_model_override,"inflated"
noise_model_is_foreign,"False"
command,"script/proprio_estimator.py run --estimator ekf --bag /home/ambushee/wil_project/dataset/dataset_allsensor_004/dataset_allsensor_004_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_004/sensor_noise_inflated.yaml --experiment-id exp-ekf-noise-transfer --out /home/ambushee/wil_project/output/output_ekf_vslamcfg/simulation/dataset_allsensor_004 --allow-foreign-noise"
generated,"2026-09-20T21:41:08"
git_commit_superproject,"b3785cddf494273d51e8a55098d7fe0ecb89d7bf"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"20104"
first_stamp_s,"60.79"
last_stamp_s,"161.305"
duration_s,"100.51500000000001"
mean_rate_hz,"200.00994876386605"
gt_count,"5026"
gt_first_stamp_s,"60.8"
gt_last_stamp_s,"161.3"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"bicycle"
param_updates,"5026"
param_speed_sigma,"0.05047921999243125"
param_yaw_sigma,"0.061343041112506075"
param_gyro_bias_final,"0.0020746689097725078"
param_gyro_bias_initial,"2.5760389309323257e-05"
