t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
9550000000,1.37927944e-21,6.03899307e-12,4.49379453e-10,9.66238892e-07,nan,9.12658699e-17,0,0
9555000000,1.61636584e-20,6.03899307e-11,8.98758905e-10,1.93247778e-06,nan,8.34575438e-16,-1.44211856e-15,1.91306281e-20
9560000000,5.83312752e-20,2.11364758e-10,1.34813836e-09,2.89871668e-06,nan,1.46827019e-15,-6.34955011e-15,1.77203096e-20
9565000000,2.17062703e-19,5.07275418e-10,1.79751781e-09,3.86495557e-06,nan,1.83890178e-15,-1.60199856e-14,3.50400299e-21
9570000000,6.56200809e-19,9.96433857e-10,2.24689726e-09,4.83119446e-06,nan,1.23785566e-15,-3.24107361e-14,-5.86778086e-20
9575000000,1.54232051e-18,1.72715202e-09,2.69627672e-09,5.79743335e-06,nan,-4.09470696e-15,-5.47887203e-14,-3.42688909e-19
9580000000,3.05761532e-18,2.74774185e-09,3.14565617e-09,6.76367224e-06,nan,-8.00427921e-15,-8.3947248e-14,-4.587975e-19
9585000000,5.0420425e-18,4.10651529e-09,3.59503562e-09,7.72991113e-06,nan,-4.3138198e-15,-1.15600154e-13,-2.15600292e-19
9590000000,7.91776906e-18,5.85178429e-09,4.04441507e-09,8.69615003e-06,nan,6.65434691e-15,-1.53841374e-13,2.47663495e-19
9595000000,1.27664485e-17,8.03186079e-09,4.49379453e-09,9.66238892e-06,nan,4.99018094e-14,-2.04271045e-13,1.99208802e-18
9600000000,2.08342036e-17,1.06950567e-08,4.94317398e-09,1.06286278e-05,nan,1.46656133e-13,-2.62333346e-13,5.46845808e-18
9605000000,3.38963729e-17,1.38896841e-08,5.39255343e-09,1.15948667e-05,nan,2.90282656e-13,-3.32058963e-13,1.02487538e-17
9610000000,4.90379341e-17,1.76640547e-08,5.84193288e-09,1.25611056e-05,nan,4.40374721e-13,-4.0358202e-13,1.39826548e-17
9615000000,6.52866728e-17,2.20664807e-08,6.29131234e-09,1.35273445e-05,nan,5.84350706e-13,-4.80136283e-13,1.67178995e-17
9620000000,8.61347183e-17,2.71452738e-08,6.74069179e-09,1.44935834e-05,nan,7.13372091e-13,-5.84473582e-13,1.89404693e-17
9625000000,1.11030464e-16,3.29487462e-08,7.19007124e-09,1.54598223e-05,nan,8.64778281e-13,-6.95017676e-13,2.1544141e-17
9630000000,1.46516859e-16,3.95252096e-08,7.6394507e-09,1.64260612e-05,nan,1.08084189e-12,-8.29414238e-13,2.65012221e-17
9635000000,1.93535845e-16,4.69229761e-08,8.08883015e-09,1.73923001e-05,nan,1.37502956e-12,-9.81174357e-13,3.39565427e-17
9640000000,2.51442643e-16,5.51903576e-08,8.5382096e-09,1.83585389e-05,nan,1.7683399e-12,-1.13746231e-12,4.36588158e-17
9645000000,3.19327436e-16,6.43756661e-08,8.98758905e-09,1.93247778e-05,nan,2.18480782e-12,-1.31134698e-12,5.32344627e-17
9650000000,4.07456099e-16,7.45272134e-08,9.43696851e-09,2.02910167e-05,nan,2.7171535e-12,-1.50987965e-12,6.65059485e-17
9655000000,5.19716399e-16,8.56933115e-08,9.88634796e-09,2.12572556e-05,nan,3.35056977e-12,-1.73965602e-12,8.31743063e-17
9660000000,6.53394252e-16,9.79222725e-08,1.03357274e-08,2.22234945e-05,nan,4.03728733e-12,-1.99652608e-12,1.00850317e-16
9665000000,8.21253602e-16,1.11262408e-07,1.07851069e-08,2.31897334e-05,nan,4.88199332e-12,-2.2823508e-12,1.23871151e-16
9670000000,1.03152496e-15,1.2576203e-07,1.12344863e-08,2.41559723e-05,nan,5.97134662e-12,-2.58759623e-12,1.54577509e-16
9675000000,1.30054843e-15,1.41469451e-07,1.16838658e-08,2.51222112e-05,nan,7.35498669e-12,-2.92385815e-12,1.95525468e-16
9680000000,1.61740421e-15,1.58432983e-07,1.21332452e-08,2.60884501e-05,nan,8.93785753e-12,-3.2788344e-12,2.40619014e-16
9685000000,1.97967194e-15,1.76700936e-07,1.25826247e-08,2.7054689e-05,nan,1.05608485e-11,-3.67890486e-12,2.86131691e-16
9690000000,2.39349519e-15,1.96321625e-07,1.30320041e-08,2.80209279e-05,nan,1.22366118e-11,-4.12601174e-12,3.32541796e-16
9695000000,2.87096676e-15,2.17343359e-07,1.34813836e-08,2.89871668e-05,nan,1.41301018e-11,-4.59756032e-12,3.84626946e-16
9700000000,3.38708124e-15,2.39814453e-07,1.3930763e-08,2.99534056e-05,nan,1.61007205e-11,-5.0832588e-12,4.34801679e-16
9705000000,3.94182449e-15,2.63783216e-07,1.43801425e-08,3.09196445e-05,nan,1.81317066e-11,-5.58659514e-12,4.82956897e-16
9710000000,4.55534755e-15,2.89297961e-07,1.48295219e-08,3.18858834e-05,nan,2.03064885e-11,-6.11592525e-12,5.33433453e-16
9715000000,5.26544358e-15,3.16407001e-07,1.52789014e-08,3.28521223e-05,nan,2.27703908e-11,-6.68551636e-12,5.93344311e-16
9720000000,6.07828891e-15,3.45158647e-07,1.57282808e-08,3.38183612e-05,nan,2.56623608e-11,-7.2719314e-12,6.65147386e-16
9725000000,6.98326171e-15,3.7560121e-07,1.61776603e-08,3.47846001e-05,nan,2.87868844e-11,-7.89245144e-12,7.42138104e-16
9730000000,7.97272895e-15,4.07783004e-07,1.66270397e-08,3.5750839e-05,nan,3.19545684e-11,-8.56587195e-12,8.18658899e-16
9735000000,8.9988216e-15,4.4175234e-07,1.70764192e-08,3.67170779e-05,nan,3.4912912e-11,-9.28202471e-12,8.83092963e-16
9740000000,1.00018826e-14,4.7755753e-07,1.75257987e-08,3.76833168e-05,nan,3.7427137e-11,-1.00189851e-11,9.24948469e-16
9745000000,1.11441686e-14,5.15246885e-07,1.79751781e-08,3.86495557e-05,nan,3.99722696e-11,-1.08411065e-11,9.68402053e-16
9750000000,1.23789498e-14,5.54868719e-07,1.84245576e-08,3.96157946e-05,nan,4.29321984e-11,-1.16524639e-11,1.02378479e-15
9755000000,1.36908137e-14,5.96471342e-07,1.8873937e-08,4.05820335e-05,nan,4.6069377e-11,-1.2474465e-11,1.08151657e-15
9760000000,1.51426576e-14,6.40103066e-07,1.93233165e-08,4.15482723e-05,nan,4.9283255e-11,-1.33633709e-11,1.14132707e-15
9765000000,1.66439416e-14,6.85812205e-07,1.97726959e-08,4.25145112e-05,nan,5.24572754e-11,-1.42624e-11,1.19491022e-15
9770000000,1.81813302e-14,7.33647069e-07,2.02220754e-08,4.34807501e-05,nan,5.52611093e-11,-1.51959986e-11,1.23158226e-15
9775000000,1.97640493e-14,7.8365597e-07,2.06714548e-08,4.4446989e-05,nan,5.79313221e-11,-1.61419188e-11,1.26063007e-15
9780000000,2.14863172e-14,8.35887221e-07,2.11208343e-08,4.54132279e-05,nan,6.07715142e-11,-1.71288183e-11,1.29470027e-15
9785000000,2.3312908e-14,8.90389133e-07,2.15702137e-08,4.63794668e-05,nan,6.35584918e-11,-1.81518571e-11,1.32517886e-15
