t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
60790000000,3.43809825e-20,2.54815165e-09,3.76296869e-09,nan,nan,9.35991225e-15,0,0
60791000000,6.8761965e-20,5.0963033e-09,7.52593739e-09,nan,nan,1.87198245e-14,5.08278954e-29,-1.86701855e-34
60792000000,1.03142947e-19,7.64445495e-09,1.12889061e-08,nan,nan,2.80797367e-14,1.56997082e-28,-5.76684246e-34
60793000000,1.3752393e-19,1.01926066e-08,1.50518748e-08,nan,nan,3.7439649e-14,3.24319625e-28,-1.19129614e-33
60794000000,1.71904912e-19,1.27407583e-08,1.88148435e-08,nan,nan,4.67995612e-14,5.26770645e-28,-1.93494254e-33
60795000000,2.06285895e-19,1.52889099e-08,2.25778122e-08,nan,nan,5.61594735e-14,8.12877608e-28,-2.9858753e-33
60796000000,2.40666877e-19,1.78370616e-08,2.63407809e-08,nan,nan,6.55193857e-14,1.15635482e-27,-4.2475414e-33
60797000000,2.7504786e-19,2.03852132e-08,3.01037495e-08,nan,nan,7.4879298e-14,1.54215043e-27,-5.66465212e-33
60798000000,3.09428842e-19,2.29333649e-08,3.38667182e-08,nan,nan,8.42392102e-14,1.98377521e-27,-7.28683548e-33
60799000000,3.43809825e-19,2.54815165e-08,3.76296869e-08,nan,nan,9.35991225e-14,2.47891118e-27,-9.10557702e-33
60800000000,3.78190807e-19,2.80296682e-08,4.13926556e-08,nan,nan,1.02959035e-13,3.02448961e-27,-1.11096046e-32
60801000000,4.1257179e-19,3.05778198e-08,4.51556243e-08,nan,nan,1.12318947e-13,3.66926183e-27,-1.34779924e-32
60802000000,4.46952772e-19,3.31259715e-08,4.8918593e-08,nan,nan,1.21678859e-13,4.32608307e-27,-1.5890639e-32
60803000000,4.81333755e-19,3.56741231e-08,5.26815617e-08,nan,nan,1.31038771e-13,5.03191953e-27,-1.8483329e-32
60804000000,5.15714737e-19,3.82222748e-08,5.64445304e-08,nan,nan,1.40398684e-13,5.79687803e-27,-2.1293187e-32
60805000000,5.5009572e-19,4.07704264e-08,6.02074991e-08,nan,nan,1.49758596e-13,6.63618731e-27,-2.43761516e-32
60806000000,5.84476702e-19,4.33185781e-08,6.39704678e-08,nan,nan,1.59118508e-13,7.52798203e-27,-2.76519065e-32
60807000000,6.18857685e-19,4.58667297e-08,6.77334365e-08,nan,nan,1.6847842e-13,8.52747453e-27,-3.13232587e-32
60808000000,6.53238667e-19,4.84148814e-08,7.14964052e-08,nan,nan,1.77838333e-13,9.53751866e-27,-3.50333692e-32
60809000000,6.8761965e-19,5.0963033e-08,7.52593739e-08,nan,nan,1.87198245e-13,1.0597545e-26,-3.89270752e-32
60810000000,7.22000632e-19,5.35111847e-08,7.90223426e-08,nan,nan,1.96558157e-13,1.17292748e-26,-4.30841636e-32
60811000000,7.56381615e-19,5.60593363e-08,8.27853112e-08,nan,nan,2.05918069e-13,1.28786346e-26,-4.73060108e-32
60812000000,7.90762597e-19,5.8607488e-08,8.65482799e-08,nan,nan,2.15277982e-13,1.41236654e-26,-5.18792785e-32
60813000000,8.2514358e-19,6.11556396e-08,9.03112486e-08,nan,nan,2.24637894e-13,1.53757063e-26,-5.64782956e-32
60814000000,8.59524562e-19,6.37037913e-08,9.40742173e-08,nan,nan,2.33997806e-13,1.66744371e-26,-6.12488144e-32
60815000000,8.93905545e-19,6.62519429e-08,9.7837186e-08,nan,nan,2.43357718e-13,1.80448956e-26,-6.62828052e-32
60816000000,9.28286527e-19,6.88000946e-08,1.01600155e-07,nan,nan,2.52717631e-13,1.94731051e-26,-7.15289276e-32
60817000000,9.6266751e-19,7.13482462e-08,1.05363123e-07,nan,nan,2.62077543e-13,2.09592813e-26,-7.69879742e-32
60818000000,9.97048492e-19,7.38963979e-08,1.09126092e-07,nan,nan,2.71437455e-13,2.24959528e-26,-8.26325013e-32
60819000000,1.03142947e-18,7.64445495e-08,1.12889061e-07,nan,nan,2.80797367e-13,2.42193346e-26,-8.89628552e-32
60820000000,1.06581046e-18,7.89927012e-08,1.16652029e-07,nan,nan,2.9015728e-13,2.59005726e-26,-9.5138406e-32
60821000000,1.10019144e-18,8.15408528e-08,1.20414998e-07,nan,nan,2.99517192e-13,2.77194667e-26,-1.01819598e-31
60822000000,1.13457242e-18,8.40890045e-08,1.24177967e-07,nan,nan,3.08877104e-13,2.94754414e-26,-1.08269673e-31
60823000000,1.1689534e-18,8.66371561e-08,1.27940936e-07,nan,nan,3.18237016e-13,3.12023358e-26,-1.14612929e-31
60824000000,1.20333439e-18,8.91853078e-08,1.31703904e-07,nan,nan,3.27596929e-13,3.29985539e-26,-1.21210827e-31
60825000000,1.23771537e-18,9.17334594e-08,1.35466873e-07,nan,nan,3.36956841e-13,3.49282486e-26,-1.28299013e-31
60826000000,1.27209635e-18,9.42816111e-08,1.39229842e-07,nan,nan,3.46316753e-13,3.69628196e-26,-1.35772432e-31
60827000000,1.30647733e-18,9.68297627e-08,1.4299281e-07,nan,nan,3.55676665e-13,3.89849226e-26,-1.43200054e-31
60828000000,1.34085832e-18,9.93779144e-08,1.46755779e-07,nan,nan,3.65036578e-13,4.10110001e-26,-1.50642275e-31
