epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.008,1.22677,4.46237,0.00597,0.51853,0.24134,0.25401,0.165,0.95888,4.63303,0.00721,0.000436639,0.000436639,0.000436639
2,42.7939,1.20433,3.07508,0.00649,0.66488,0.20028,0.26808,0.16382,1.22823,3.52579,0.01014,0.00086778,0.00086778,0.00086778
3,49.7794,1.33315,2.29967,0.00725,0.51635,0.41409,0.25176,0.13831,1.26135,2.60664,0.01094,0.00125176,0.00125176,0.00125176
4,57.2035,1.28897,1.90536,0.00838,0.62589,0.44199,0.42083,0.2413,1.49296,3.25013,0.01456,0.00121679,0.00121679,0.00121679
5,64.7265,1.3356,1.59441,0.00792,0.63166,0.67173,0.65295,0.43769,1.33073,2.18165,0.01188,0.00114606,0.00114606,0.00114606
6,77.9898,1.29065,1.4294,0.00721,0.77683,0.69558,0.75922,0.50931,1.26747,1.60036,0.01175,0.00107532,0.00107532,0.00107532
7,90.4267,1.16932,1.21358,0.00731,0.83737,0.76867,0.8366,0.57095,1.13552,1.30915,0.01152,0.00100459,0.00100459,0.00100459
8,100.53,1.16277,1.11826,0.00743,0.91739,0.83796,0.90187,0.61103,1.21033,1.07793,0.01028,0.000933851,0.000933851,0.000933851
9,113.375,1.1842,0.97495,0.00633,0.94552,0.77099,0.86813,0.63212,1.08293,1.07542,0.00977,0.000863116,0.000863116,0.000863116
10,121.718,1.08788,0.86872,0.00582,0.91361,0.79141,0.84302,0.61984,1.16384,1.22285,0.01036,0.00079238,0.00079238,0.00079238
11,130.922,1.06889,0.9025,0.00751,0.9159,0.84226,0.90267,0.67322,1.10602,0.86434,0.00883,0.000721645,0.000721645,0.000721645
12,138.567,1.06518,0.78048,0.00671,0.91303,0.90387,0.92325,0.70378,0.99502,0.79428,0.00765,0.000650909,0.000650909,0.000650909
13,146.475,1.03216,0.74824,0.00679,0.90198,0.87368,0.92689,0.71968,0.95838,0.74009,0.00807,0.000580174,0.000580174,0.000580174
14,156.412,0.97981,0.6826,0.00668,0.97005,0.84422,0.92534,0.7123,0.9256,0.67006,0.00724,0.000509438,0.000509438,0.000509438
15,163.839,0.94269,0.67992,0.00606,0.96234,0.87523,0.92699,0.72231,0.91583,0.61155,0.00691,0.000438703,0.000438703,0.000438703
16,171.882,0.90207,0.63194,0.00575,0.94686,0.88216,0.92096,0.73303,0.89837,0.55785,0.00675,0.000367967,0.000367967,0.000367967
17,185.177,0.90936,0.59561,0.00557,0.9495,0.8828,0.92203,0.73797,0.83186,0.55145,0.00619,0.000297232,0.000297232,0.000297232
18,193.414,0.85471,0.60504,0.00497,0.95133,0.88088,0.92311,0.75226,0.81046,0.55746,0.00613,0.000226497,0.000226497,0.000226497
19,206.268,0.87814,0.56618,0.00553,0.96207,0.87211,0.92516,0.74419,0.78541,0.53428,0.00575,0.000155761,0.000155761,0.000155761
20,214.121,0.84927,0.55666,0.0054,0.95841,0.88197,0.93072,0.74873,0.76765,0.53996,0.00537,8.50255e-05,8.50255e-05,8.50255e-05
